time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.693102,-0.362756,-1.473975,-0.018160,-0.007723,0.008995,0.253618,0.113491,-0.081591,-2.557568,-2.014185,2.277644,100.809542,51.950293,-51.357053,0.011469,-0.025634,0.000000,-0.200817,0.252473,0.000000
0.010000,-2.693272,-0.362828,-1.473889,-0.015736,-0.006681,0.008285,0.232876,0.095834,-0.061256,-1.610969,-1.528286,1.801576,88.672863,45.329700,-43.984845,0.009705,-0.023587,0.000000,-0.152957,0.158796,0.000000
0.020000,-2.693418,-0.362890,-1.473809,-0.013473,-0.005791,0.007756,0.221010,0.082715,-0.045326,-0.780926,-1.105638,1.395450,77.491523,39.295086,-37.361781,0.008391,-0.022422,0.000000,-0.110948,0.076023,0.000000
0.030000,-2.693541,-0.362944,-1.473733,-0.011290,-0.005013,0.007366,0.216900,0.073529,-0.033138,-0.058089,-0.740526,1.051974,67.224892,33.817723,-31.448425,0.007468,-0.022032,0.000000,-0.074412,0.003545,0.000000
0.040000,-2.693643,-0.362991,-1.473661,-0.009113,-0.004309,0.007082,0.219521,0.067730,-0.024101,0.566485,-0.427522,0.764247,57.832337,28.868887,-26.205388,0.006885,-0.022319,0.000000,-0.042935,-0.059308,0.000000
0.050000,-2.693723,-0.363031,-1.473592,-0.006880,-0.003649,0.006875,0.227931,0.064823,-0.017689,1.101336,-0.161483,0.525770,49.273280,24.419804,-21.592635,0.006594,-0.023189,0.000000,-0.016091,-0.113242,0.000000
0.060000,-2.693781,-0.363064,-1.473524,-0.004538,-0.003005,0.006721,0.241275,0.064360,-0.013442,1.554594,0.062444,0.330426,41.507033,20.441791,-17.571382,0.006550,-0.024556,0.000000,0.006549,-0.158980,0.000000
0.070000,-2.693814,-0.363091,-1.473457,-0.002040,-0.002355,0.006601,0.258777,0.065946,-0.010956,1.933984,0.248827,0.172503,34.492992,16.906101,-14.101912,0.006712,-0.026343,0.000000,0.025409,-0.197246,0.000000
0.080000,-2.693821,-0.363111,-1.473392,0.000650,-0.001680,0.006498,0.279733,0.069226,-0.009885,2.246826,0.401945,0.046680,28.190535,13.784001,-11.144775,0.007047,-0.028479,0.000000,0.040901,-0.228748,-0.000000
0.090000,-2.693800,-0.363124,-1.473327,0.003564,-0.000966,0.006399,0.303515,0.073888,-0.009932,2.500031,0.525790,-0.051969,22.559027,11.046761,-8.660562,0.007521,-0.030898,0.000000,0.053416,-0.254174,-0.000000
