time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.999238,-0.874761,-1.283130,-0.017631,-0.005940,0.011305,0.126311,0.030370,-0.105176,5.871316,1.371352,-3.747938,-33.271225,-14.860786,133.850535,0.003063,-0.012738,0.000000,0.137115,-0.587241,0.000000
0.010000,-2.999415,-0.874820,-1.283017,-0.016368,-0.005636,0.010253,0.185024,0.044084,-0.142655,5.538603,1.222744,-2.409432,-186.289240,-56.656135,278.697766,0.004429,-0.018588,0.000000,0.121715,-0.551798,0.000000
0.020000,-2.999566,-0.874874,-1.282925,-0.013931,-0.005058,0.008452,0.237083,0.054825,-0.153364,2.145531,0.238229,1.826018,-303.304068,-91.061189,327.809960,0.005501,-0.023791,0.000000,0.024882,-0.219575,0.000000
0.030000,-2.999693,-0.874921,-1.282848,-0.011626,-0.004539,0.007186,0.227934,0.048848,-0.106135,-0.527478,-0.598479,4.146767,-97.651707,-41.683654,63.573380,0.004925,-0.022982,0.000000,-0.058272,0.043558,0.000000
0.040000,-2.999798,-0.874964,-1.282782,-0.009372,-0.004081,0.006329,0.226533,0.042855,-0.070429,0.192497,-0.595444,3.097485,66.778809,0.743295,-95.258960,0.004336,-0.022923,0.000000,-0.058891,-0.026656,0.000000
0.050000,-2.999881,-0.875003,-1.282722,-0.007096,-0.003682,0.005778,0.231784,0.036939,-0.044185,0.808098,-0.583614,2.241588,56.836711,1.575377,-77.163750,0.003748,-0.023517,0.000000,-0.058363,-0.087307,0.000000
0.060000,-2.999940,-0.875038,-1.282666,-0.004736,-0.003342,0.005446,0.242695,0.031183,-0.025597,1.329231,-0.563936,1.554210,47.858748,2.315168,-61.474428,0.003169,-0.024670,0.000000,-0.056828,-0.138959,0.000000
0.070000,-2.999975,-0.875070,-1.282613,-0.002242,-0.003059,0.005266,0.258369,0.025661,-0.013101,1.765273,-0.537310,1.012099,39.792274,2.967439,-48.029965,0.002611,-0.026296,0.000000,-0.054423,-0.182290,0.000000
0.080000,-2.999985,-0.875099,-1.282561,0.000431,-0.002829,0.005184,0.278001,0.020437,-0.005355,2.125076,-0.504587,0.593611,32.584594,3.536965,-36.669309,0.002081,-0.028315,0.000000,-0.051274,-0.218043,-0.000000
0.090000,-2.999967,-0.875126,-1.282509,0.003318,-0.002650,0.005159,0.300871,0.015569,-0.001228,2.416965,-0.466571,0.278713,26.183085,4.028513,-27.231424,0.001586,-0.030656,0.000000,-0.047499,-0.246985,0.000000
