time,k0_0,k0_1,k0_2,k0_3,k0_4,k0_5,k0_6,k0_7,k0_8,k0_9,k0_10,k0_11,k0_12,k1_0,k1_1,k1_2,k1_3,k1_4,k1_5,k1_6,k1_7,k1_8,k1_9,k1_10,k1_11,k1_12,k2_0,k2_1,k2_2,k2_3,k2_4,k2_5,k2_6,k2_7,k2_8,k2_9,k2_10,k2_11,k2_12,k3_0,k3_1,k3_2,k3_3,k3_4,k3_5,k3_6,k3_7,k3_8,k3_9,k3_10,k3_11,k3_12,k4_0,k4_1,k4_2,k4_3,k4_4,k4_5,k4_6,k4_7,k4_8,k4_9,k4_10,k4_11,k4_12,k5_0,k5_1,k5_2,k5_3,k5_4,k5_5,k5_6,k5_7,k5_8,k5_9,k5_10,k5_11,k5_12
0.000000,-1.462233,0.000000,0.000000,-1.857174,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-1.323767,0.000000,0.000000,-1.712753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.866791,0.000000,0.000000,-1.229296,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000264,-0.070950,0.000077,-0.000320,-0.072553,0.000007,-0.000015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000322,-0.000084,-0.072657,-0.000280,-0.000008,-0.077878,-0.000001,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000186,0.000653,0.000521,-0.138241,-0.000001,-0.000000,-0.147655
0.010000,-1.462229,0.000000,0.000000,-1.857173,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.323764,0.000000,0.000000,-1.712752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.866789,0.000000,0.000000,-1.229295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000265,-0.070941,0.000079,-0.000316,-0.072553,0.000005,-0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000328,-0.000086,-0.072646,-0.000278,-0.000006,-0.077878,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000182,0.000637,0.000514,-0.138221,-0.000000,-0.000000,-0.147654
0.020000,-1.462225,0.000000,0.000000,-1.857172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.323760,0.000000,0.000000,-1.712751,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.866787,0.000000,0.000000,-1.229294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000266,-0.070932,0.000080,-0.000313,-0.072553,0.000004,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000331,-0.000087,-0.072634,-0.000276,-0.000004,-0.077878,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000179,0.000625,0.000508,-0.138200,0.000000,-0.000000,-0.147654
0.030000,-1.462221,0.000000,0.000000,-1.857171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.323757,0.000000,0.000000,-1.712750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.866785,0.000000,0.000000,-1.229293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000265,-0.070923,0.000081,-0.000311,-0.072552,0.000003,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000332,-0.000088,-0.072623,-0.000275,-0.000003,-0.077878,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000177,0.000617,0.000504,-0.138178,0.000000,-0.000001,-0.147654
0.040000,-1.462217,0.000000,0.000000,-1.857170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.323753,0.000000,0.000000,-1.712749,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.866783,0.000000,0.000000,-1.229292,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000264,-0.070913,0.000081,-0.000309,-0.072552,0.000002,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000332,-0.000088,-0.072611,-0.000273,-0.000003,-0.077878,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000175,0.000611,0.000500,-0.138157,0.000001,-0.000001,-0.147654
0.050000,-1.462213,0.000000,0.000000,-1.857169,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-1.323750,0.000000,0.000000,-1.712748,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.866781,0.000000,0.000000,-1.229290,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000263,-0.070904,0.000081,-0.000307,-0.072552,0.000002,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000331,-0.000088,-0.072599,-0.000271,-0.000002,-0.077878,0.000008,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000174,0.000606,0.000497,-0.138135,0.000001,-0.000001,-0.147653
0.060000,-1.462209,0.000000,0.000000,-1.857168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.323746,0.000000,0.000000,-1.712746,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.866778,0.000000,0.000000,-1.229289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000262,-0.070894,0.000081,-0.000305,-0.072552,0.000002,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000329,-0.000088,-0.072588,-0.000270,-0.000002,-0.077877,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000173,0.000601,0.000494,-0.138113,0.000001,-0.000001,-0.147653
0.070000,-1.462205,0.000000,0.000000,-1.857167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.323742,0.000000,0.000000,-1.712745,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.866776,0.000000,0.000000,-1.229288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000261,-0.070884,0.000080,-0.000303,-0.072552,0.000002,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000327,-0.000087,-0.072576,-0.000268,-0.000002,-0.077877,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000172,0.000598,0.000491,-0.138091,0.000001,-0.000001,-0.147653
0.080000,-1.462201,0.000000,0.000000,-1.857165,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.323738,0.000000,0.000000,-1.712744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.866774,0.000000,0.000000,-1.229286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000259,-0.070874,0.000080,-0.000301,-0.072552,0.000002,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000325,-0.000087,-0.072564,-0.000267,-0.000002,-0.077877,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000171,0.000594,0.000489,-0.138068,0.000001,-0.000001,-0.147652
0.090000,-1.462196,0.000000,0.000000,-1.857164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.323735,0.000000,0.000000,-1.712743,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.866771,0.000000,0.000000,-1.229285,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000258,-0.070865,0.000080,-0.000300,-0.072552,0.000002,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000323,-0.000086,-0.072552,-0.000266,-0.000002,-0.077877,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000171,0.000591,0.000486,-0.138046,0.000001,-0.000001,-0.147652
