time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,qw,qx,qy,qz,wx,wy,wz
0.000000,0.022172,-3.007746,0.508312,-0.006290,-0.017228,-0.007090,0.067244,0.225334,0.009701,-0.577202,-1.583420,-0.082005,4.617063,17.660146,3.765910,0.999982,0.003828,-0.004435,-0.001352,0.003056,-0.014660,0.005585
0.010000,0.022113,-3.007907,0.508241,-0.005646,-0.015051,-0.006996,0.061697,0.210371,0.009067,-0.532675,-1.410384,-0.045009,4.291552,16.951329,3.633514,0.999982,0.003827,-0.004463,-0.001334,0.000070,-0.006323,0.003815
0.020000,0.022059,-3.008048,0.508172,-0.005055,-0.013015,-0.006907,0.056580,0.197103,0.008796,-0.491308,-1.244308,-0.009327,3.984809,16.268036,3.503239,0.999982,0.003827,-0.004495,-0.001315,-0.001847,-0.000951,0.002656
0.030000,0.022011,-3.008168,0.508103,-0.004513,-0.011103,-0.006819,0.051861,0.185462,0.008876,-0.452918,-1.084940,0.025062,3.696191,15.609620,3.375075,0.999982,0.003827,-0.004525,-0.001297,-0.003008,0.002325,0.001931
0.040000,0.021969,-3.008270,0.508035,-0.004016,-0.009300,-0.006729,0.047512,0.175383,0.009293,-0.417326,-0.932035,0.058181,3.425050,14.975500,3.249030,0.999982,0.003824,-0.004547,-0.001280,-0.003656,0.004172,0.001504
0.050000,0.021931,-3.008354,0.507969,-0.003562,-0.007590,-0.006632,0.043506,0.166801,0.010035,-0.384361,-0.785358,0.090048,3.170732,14.364330,3.124897,0.999982,0.003816,-0.004555,-0.001266,-0.003969,0.005091,0.001275
0.060000,0.021897,-3.008422,0.507903,-0.003145,-0.005959,-0.006527,0.039817,0.159656,0.011090,-0.353858,-0.644674,0.120685,2.932602,13.776195,3.002881,0.999982,0.003802,-0.004545,-0.001257,-0.004080,0.005443,0.001168
0.070000,0.021868,-3.008474,0.507838,-0.002764,-0.004393,-0.006410,0.036421,0.153888,0.012445,-0.325657,-0.509761,0.150113,2.710008,13.210142,2.882879,0.999982,0.003783,-0.004522,-0.001250,-0.004078,0.005483,0.001131
0.080000,0.021842,-3.008510,0.507775,-0.002416,-0.002877,-0.006277,0.033296,0.149442,0.014088,-0.299608,-0.380400,0.178350,2.502305,12.665513,2.764868,0.999982,0.003761,-0.004490,-0.001245,-0.004026,0.005379,0.001129
0.090000,0.021819,-3.008532,0.507713,-0.002097,-0.001400,-0.006127,0.030422,0.146262,0.016008,-0.275564,-0.256381,0.205416,2.308847,12.141597,2.648827,0.999982,0.003739,-0.004457,-0.001241,-0.003961,0.005235,0.001139
0.100000,0.021800,-3.008538,0.507652,-0.001807,0.000052,-0.005956,0.027779,0.144297,0.018193,-0.253386,-0.137506,0.231333,2.128983,11.637370,2.534753,0.999983,0.003718,-0.004427,-0.001236,-0.003903,0.005109,0.001150
0.110000,0.021783,-3.008531,0.507594,-0.001541,0.001490,-0.005762,0.025349,0.143496,0.020631,-0.232941,-0.023572,0.256118,1.962071,11.152641,2.422601,0.999983,0.003698,-0.004402,-0.001230,-0.003860,0.005024,0.001154
0.120000,0.021769,-3.008508,0.507537,-0.001299,0.002926,-0.005543,0.023115,0.143810,0.023312,-0.214103,0.085609,0.279791,1.807465,10.686538,2.312360,0.999983,0.003679,-0.004377,-0.001225,-0.003833,0.004984,0.001151
0.130000,0.021757,-3.008472,0.507483,-0.001078,0.004370,-0.005295,0.021062,0.145193,0.026223,-0.196753,0.190219,0.302372,1.664516,10.238427,2.204013,0.999983,0.003660,-0.004351,-0.001219,-0.003819,0.004978,0.001142
0.140000,0.021747,-3.008421,0.507431,-0.000877,0.005833,-0.005018,0.019175,0.147599,0.029355,-0.180776,0.290435,0.323878,1.532579,9.807730,2.097550,0.999983,0.003640,-0.004326,-0.001213,-0.003812,0.004991,0.001130
0.150000,0.021740,-3.008355,0.507383,-0.000694,0.007325,-0.004707,0.017442,0.150987,0.032697,-0.166067,0.386430,0.344329,1.411005,9.393929,1.992982,0.999983,0.003621,-0.004301,-0.001208,-0.003807,0.005009,0.001117
0.160000,0.021734,-3.008274,0.507337,-0.000528,0.008856,-0.004363,0.015850,0.155314,0.036238,-0.152524,0.478343,0.363742,1.299155,8.994309,1.890089,0.999984,0.003602,-0.004276,-0.001202,-0.003799,0.005020,0.001105
0.170000,0.021729,-3.008178,0.507295,-0.000377,0.010434,-0.003982,0.014388,0.160541,0.039969,-0.140053,0.566357,0.382136,1.196375,8.610877,1.789089,0.999984,0.003583,-0.004251,-0.001197,-0.003786,0.005015,0.001096
0.180000,0.021726,-3.008065,0.507258,-0.000240,0.012070,-0.003563,0.013045,0.166629,0.043878,-0.128568,0.650609,0.399529,1.102020,8.241917,1.689864,0.999984,0.003565,-0.004226,-0.001191,-0.003767,0.004993,0.001091
0.190000,0.021724,-3.007936,0.507224,-0.000116,0.013770,-0.003104,0.011813,0.173541,0.047956,-0.117987,0.731241,0.415939,1.015443,7.886702,1.592359,0.999984,0.003546,-0.004201,-0.001186,-0.003742,0.004957,0.001088
0.200000,0.021724,-3.007790,0.507196,-0.000003,0.015543,-0.002603,0.010683,0.181242,0.052193,-0.108235,0.808386,0.431384,0.936004,7.544565,1.496736,0.999984,0.003527,-0.004177,-0.001180,-0.003714,0.004912,0.001087
0.210000,0.021724,-3.007625,0.507172,0.000098,0.017397,-0.002060,0.009645,0.189697,0.056580,-0.099471,0.882002,0.445872,0.858594,7.211449,1.402601,0.999985,0.003509,-0.004152,-0.001175,-0.003696,0.004893,0.001081
0.220000,0.021726,-3.007442,0.507155,0.000190,0.019339,-0.001471,0.008694,0.198874,0.061108,-0.090670,0.952939,0.459455,0.863115,6.947897,1.312901,0.999985,0.003490,-0.004128,-0.001169,-0.003678,0.004874,0.001075
