time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.972075,0.769041,-1.343117,-0.002879,0.005402,0.007657,-0.056568,0.090697,-0.169083,0.798770,-0.906651,4.955637,53.512550,13.047190,-111.805633,0.009088,0.005669,0.000000,-0.086329,-0.077224,0.000000
0.010000,-2.972106,0.769099,-1.343048,-0.003397,0.006266,0.006196,-0.046000,0.082252,-0.124832,1.305295,-0.785374,3.922136,47.840914,11.232659,-95.189064,0.008279,0.004630,0.000000,-0.075773,-0.129551,0.000000
0.020000,-2.972143,0.769166,-1.342992,-0.003784,0.007051,0.005128,-0.030646,0.074932,-0.090115,1.756546,-0.681520,3.046118,42.456547,9.561590,-80.293946,0.007569,0.003095,0.000000,-0.066503,-0.176468,-0.000000
0.030000,-2.972182,0.769240,-1.342944,-0.003995,0.007768,0.004367,-0.011044,0.068569,-0.063441,2.155365,-0.593683,2.310822,37.353768,8.028262,-67.029535,0.006945,0.001119,0.000000,-0.058499,-0.218032,0.000000
0.040000,-2.972222,0.769321,-1.342904,-0.003992,0.008425,0.003837,0.012296,0.063009,-0.043483,2.504541,-0.520515,1.700394,32.526888,6.626980,-55.305101,0.006395,-0.001248,0.000000,-0.051722,-0.254388,-0.000000
0.050000,-2.972261,0.769408,-1.342867,-0.003739,0.009030,0.003479,0.038891,0.058114,-0.029067,2.806804,-0.460726,1.199892,27.970319,5.351687,-45.029613,0.005906,-0.003953,0.000000,-0.046111,-0.285744,0.000000
0.060000,-2.972296,0.769501,-1.342834,-0.003205,0.009589,0.003241,0.068285,0.053754,-0.019165,3.064829,-0.413080,0.795275,23.678288,4.197029,-36.112648,0.005469,-0.006947,0.000000,-0.041593,-0.312352,0.000000
0.070000,-2.972324,0.769600,-1.342802,-0.002365,0.010107,0.003083,0.100049,0.049816,-0.012886,3.281233,-0.376403,0.473413,19.645178,3.157123,-28.463317,0.005071,-0.010185,0.000000,-0.038089,-0.334492,0.000000
0.080000,-2.972342,0.769703,-1.342772,-0.001197,0.010587,0.002974,0.133779,0.046193,-0.009462,3.458577,-0.349574,0.222085,15.865375,2.226235,-21.990866,0.004704,-0.013623,0.000000,-0.035512,-0.352455,-0.000000
0.090000,-2.972346,0.769811,-1.342742,0.000316,0.011031,0.002887,0.169098,0.042795,-0.008247,3.599367,-0.331534,0.029976,12.333333,1.398629,-16.604559,0.004358,-0.017221,0.000000,-0.033776,-0.366540,-0.000000
0.100000,-2.972334,0.769924,-1.342714,0.002189,0.011443,0.002803,0.205653,0.039537,-0.008700,3.706040,-0.321277,-0.113323,9.042387,0.668512,-12.213520,0.004026,-0.020942,0.000000,-0.032792,-0.377037,0.000000
0.110000,-2.972301,0.770040,-1.342686,0.004432,0.011822,0.002709,0.243113,0.036346,-0.010382,3.780998,-0.317858,-0.217310,5.988099,0.030208,-8.727111,0.003700,-0.024751,0.000000,-0.032474,-0.384229,0.000000
0.120000,-2.972244,0.770160,-1.342660,0.007053,0.012170,0.002593,0.281175,0.033160,-0.012944,3.826571,-0.320386,-0.290578,3.164341,-0.522043,-6.054518,0.003374,-0.028616,0.000000,-0.032740,-0.388387,0.000000
0.130000,-2.972159,0.770283,-1.342635,0.010057,0.012485,0.002448,0.319554,0.029922,-0.016117,3.845035,-0.328031,-0.340810,0.565479,-0.993966,-4.104958,0.003044,-0.032509,0.000000,-0.033510,-0.389766,-0.000000
