time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-3.279424,-0.347348,-1.478153,-0.002992,0.005750,0.004799,-0.004751,0.031241,-0.009689,-0.074746,1.527517,-0.438175,26.055322,-3.355536,2.583605,0.003181,0.000484,0.000000,0.155413,0.007590,-0.000000
0.010000,-3.279454,-0.347290,-1.478105,-0.003040,0.006062,0.004702,-0.005498,0.046516,-0.014071,0.185807,1.493962,-0.412339,50.057278,-43.041982,12.910551,0.004735,0.000560,0.000000,0.151869,-0.018937,-0.000000
0.020000,-3.279485,-0.347227,-1.478059,-0.003102,0.006680,0.004517,-0.001035,0.061120,-0.017936,0.926400,0.666677,-0.179964,77.954894,-80.539077,18.347787,0.006219,0.000105,0.000000,0.067718,-0.094262,0.000000
0.030000,-3.279516,-0.347157,-1.478015,-0.003060,0.007285,0.004343,0.013030,0.059849,-0.017670,1.744905,-0.116820,-0.045384,72.301448,-37.873131,-0.004691,0.006090,-0.001326,0.000000,-0.011916,-0.177541,0.000000
0.040000,-3.279546,-0.347081,-1.477972,-0.002842,0.007877,0.004164,0.033864,0.058783,-0.018844,2.372429,-0.090785,-0.180058,58.017584,3.107235,-12.580523,0.005981,-0.003445,0.000000,-0.009351,-0.241304,-0.000000
0.050000,-3.279573,-0.346999,-1.477931,-0.002383,0.008461,0.003966,0.060478,0.058034,-0.021271,2.905257,-0.054675,-0.296994,48.950904,4.011787,-10.879326,0.005903,-0.006152,0.000000,-0.005750,-0.295310,0.000000
0.060000,-3.279594,-0.346912,-1.477893,-0.001632,0.009038,0.003738,0.091969,0.057690,-0.024783,3.351447,-0.010549,-0.397645,40.670872,4.717803,-9.319891,0.005866,-0.009351,0.000000,-0.001328,-0.340361,0.000000
0.070000,-3.279606,-0.346818,-1.477857,-0.000544,0.009614,0.003471,0.127507,0.057823,-0.029224,3.718674,0.039681,-0.483392,33.139496,5.240181,-7.895024,0.005876,-0.012958,0.000000,0.003715,-0.377237,0.000000
0.080000,-3.279605,-0.346719,-1.477823,0.000918,0.010194,0.003154,0.166342,0.058484,-0.034451,4.014237,0.094254,-0.555545,26.318834,5.593818,-6.597529,0.005940,-0.016895,0.000000,0.009197,-0.406690,0.000000
0.090000,-3.279587,-0.346615,-1.477794,0.002783,0.010784,0.002782,0.207792,0.059708,-0.040335,4.245051,0.151557,-0.615342,20.170901,5.793611,-5.420206,0.006060,-0.021092,0.000000,0.014949,-0.429438,0.000000
0.100000,-3.279549,-0.346504,-1.477768,0.005074,0.011389,0.002347,0.251243,0.061515,-0.046758,4.417655,0.210126,-0.663949,14.657700,5.854458,-4.355854,0.006239,-0.025484,0.000000,0.020819,-0.446170,0.000000
0.110000,-3.279486,-0.346387,-1.477747,0.007808,0.012014,0.001846,0.296145,0.063910,-0.053614,4.538205,0.268646,-0.702460,9.741260,5.791255,-3.397287,0.006476,-0.030015,0.000000,0.026673,-0.457535,0.000000
0.120000,-3.279393,-0.346263,-1.477731,0.010997,0.012667,0.001275,0.342007,0.066888,-0.060807,4.612480,0.325951,-0.731895,5.383654,5.618902,-2.537298,0.006772,-0.034635,0.000000,0.032389,-0.464148,0.000000
0.130000,-3.279266,-0.346133,-1.477721,0.014648,0.013352,0.000630,0.388395,0.070429,-0.068252,4.645878,0.381024,-0.753206,1.546884,5.352296,-1.768688,0.007124,-0.039298,0.000000,0.037866,-0.466583,0.000000
0.140000,-3.279100,-0.345996,-1.477718,0.018765,0.014075,-0.000090,0.434925,0.074508,-0.075871,4.643417,0.432997,-0.767269,-1.807183,5.006326,-1.084308,0.007529,-0.043966,0.000000,0.043016,-0.465374,0.000000
0.150000,-3.278891,-0.345852,-1.477723,0.023347,0.014842,-0.000887,0.481263,0.079089,-0.083597,4.609734,0.481151,-0.774892,-4.716393,4.595896,-0.476924,0.007984,-0.048606,0.000000,0.047768,-0.461016,0.000000
0.160000,-3.278633,-0.345700,-1.477736,0.028390,0.015657,-0.001762,0.527120,0.084131,-0.091369,4.549090,0.524915,-0.776807,-7.218531,4.135913,0.060712,0.008485,-0.053187,0.000000,0.052065,-0.453961,-0.000000
0.170000,-3.278323,-0.345539,-1.477758,0.033889,0.016525,-0.002715,0.572245,0.089587,-0.099134,4.465364,0.563869,-0.773677,-9.354987,3.643889,0.536849,0.009026,-0.057685,0.000000,0.055868,-0.444621,-0.000000
0.180000,-3.277955,-0.345369,-1.477790,0.039835,0.017449,-0.003745,0.616427,0.095408,-0.106843,4.361990,0.597793,-0.766070,-11.219327,3.180657,0.978232,0.009602,-0.062080,0.000000,0.059159,-0.433360,0.000000
