time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,qw,qx,qy,qz,wx,wy,wz
0.000000,0.006607,-2.979733,0.503958,0.005419,-0.002963,-0.004648,0.090247,-0.024106,0.011386,-0.895196,-0.061746,-0.093207,7.285266,9.429741,3.789667,0.999976,0.002769,0.005340,0.003362,0.007413,0.009481,-0.000599
0.010000,0.006666,-2.979764,0.503912,0.006278,-0.003206,-0.004538,0.081650,-0.024257,0.010642,-0.824936,0.031040,-0.055971,6.771607,9.128703,3.657847,0.999976,0.002782,0.005356,0.003353,0.003049,0.003735,-0.001658
0.020000,0.006733,-2.979798,0.503868,0.007054,-0.003445,-0.004434,0.073731,-0.023495,0.010263,-0.759665,0.120855,-0.020043,6.287413,8.835609,3.528022,0.999976,0.002798,0.005375,0.003345,0.000243,0.000038,-0.002345
0.030000,0.006807,-2.979833,0.503824,0.007754,-0.003673,-0.004332,0.066441,-0.021849,0.010237,-0.699093,0.207778,0.014596,5.831677,8.550285,3.400186,0.999976,0.002812,0.005392,0.003336,-0.001462,-0.002213,-0.002768
0.040000,0.006887,-2.979871,0.503781,0.008385,-0.003880,-0.004228,0.059735,-0.019349,0.010550,-0.642940,0.291886,0.047967,5.403392,8.272557,3.274339,0.999976,0.002822,0.005405,0.003327,-0.002419,-0.003478,-0.003009
0.050000,0.006974,-2.979911,0.503739,0.008951,-0.004057,-0.004119,0.053569,-0.016021,0.011192,-0.590937,0.373250,0.080089,5.001549,8.001854,3.150381,0.999976,0.002825,0.005407,0.003316,-0.002890,-0.004101,-0.003130
0.060000,0.007066,-2.979952,0.503699,0.009458,-0.004197,-0.004003,0.047903,-0.011893,0.012148,-0.542824,0.451945,0.110981,4.625141,7.738471,3.028401,0.999976,0.002819,0.005398,0.003302,-0.003065,-0.004333,-0.003175
0.070000,0.007163,-2.979994,0.503659,0.009910,-0.004292,-0.003875,0.042700,-0.006990,0.013407,-0.498353,0.528042,0.140663,4.273161,7.482035,2.908348,0.999976,0.002806,0.005379,0.003287,-0.003077,-0.004350,-0.003179
0.080000,0.007264,-2.980038,0.503621,0.010313,-0.004335,-0.003734,0.037925,-0.001340,0.014957,-0.457283,0.601609,0.169155,3.944600,7.232395,2.790218,0.999976,0.002788,0.005354,0.003270,-0.003016,-0.004267,-0.003161
0.090000,0.007369,-2.980081,0.503585,0.010670,-0.004317,-0.003575,0.033544,0.005033,0.016786,-0.419386,0.672712,0.196474,3.638452,6.989452,2.674021,0.999977,0.002770,0.005328,0.003254,-0.002934,-0.004157,-0.003136
0.100000,0.007477,-2.980124,0.503550,0.010985,-0.004232,-0.003397,0.029527,0.012106,0.018883,-0.384443,0.741411,0.222640,3.353709,6.752244,2.559610,0.999977,0.002753,0.005305,0.003238,-0.002863,-0.004059,-0.003110
0.110000,0.007589,-2.980165,0.503517,0.011262,-0.004072,-0.003197,0.025846,0.019854,0.021235,-0.352244,0.807775,0.247672,3.089363,6.521515,2.447128,0.999977,0.002739,0.005285,0.003222,-0.002814,-0.003990,-0.003089
