time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,omega_dot_x,omega_dot_y,omega_dot_z,mu
0.000000,0.141755,0.085106,0.986237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.821899
0.010000,0.141753,0.085107,0.986237,-0.000002,-0.000001,-0.000001,-0.000436,-0.000821,-0.000229,0.821913
0.020000,0.141751,0.085108,0.986237,-0.000014,-0.000037,-0.000006,-0.002191,-0.006516,-0.000991,0.821955
0.030000,0.141749,0.085108,0.986237,-0.000050,-0.000151,-0.000022,-0.005146,-0.016282,-0.002266,0.822025
0.040000,0.141747,0.085109,0.986237,-0.000121,-0.000380,-0.000053,-0.009188,-0.029398,-0.004034,0.822122
0.050000,0.141745,0.085109,0.986238,-0.000237,-0.000754,-0.000105,-0.014208,-0.045218,-0.006273,0.822246
0.060000,0.141719,0.085117,0.986241,-0.000408,-0.001296,-0.000180,-0.020103,-0.063159,-0.008966,0.822398
0.070000,0.141693,0.085125,0.986244,-0.000642,-0.002026,-0.000285,-0.026774,-0.082703,-0.012091,0.822577
0.080000,0.141667,0.085133,0.986247,-0.000946,-0.002957,-0.000424,-0.034132,-0.103384,-0.015632,0.822782
0.090000,0.141641,0.085141,0.986250,-0.001327,-0.004099,-0.000599,-0.042091,-0.124787,-0.019570,0.823013
0.100000,0.141615,0.085149,0.986253,-0.001790,-0.005457,-0.000816,-0.050574,-0.146543,-0.023887,0.823270
0.110000,0.141517,0.085181,0.986264,-0.002340,-0.007032,-0.001078,-0.059509,-0.168321,-0.028566,0.823551
0.120000,0.141420,0.085212,0.986275,-0.002982,-0.008824,-0.001389,-0.068832,-0.189830,-0.033590,0.823856
0.130000,0.141322,0.085244,0.986287,-0.003719,-0.010829,-0.001751,-0.078485,-0.210810,-0.038944,0.824185
0.140000,0.141225,0.085275,0.986298,-0.004553,-0.013040,-0.002169,-0.088416,-0.231033,-0.044611,0.824535
0.150000,0.141127,0.085307,0.986309,-0.005488,-0.015448,-0.002644,-0.098578,-0.250296,-0.050575,0.824908
0.160000,0.140940,0.085372,0.986330,-0.006526,-0.018044,-0.003181,-0.108932,-0.268422,-0.056823,0.825301
0.170000,0.140782,0.085426,0.986348,-0.007668,-0.020814,-0.003782,-0.119442,-0.285256,-0.063340,0.825713
0.180000,0.140609,0.085485,0.986368,-0.008915,-0.023745,-0.004449,-0.130078,-0.300662,-0.070111,0.826145
0.190000,0.140377,0.085568,0.986394,-0.010270,-0.026823,-0.005185,-0.140816,-0.314525,-0.077122,0.826594
0.200000,0.140040,0.085691,0.986431,-0.011732,-0.030031,-0.005992,-0.151633,-0.326742,-0.084361,0.827060
0.210000,0.139799,0.085783,0.986457,-0.013303,-0.033353,-0.006873,-0.162513,-0.337229,-0.091814,0.827543
0.220000,0.139468,0.085908,0.986493,-0.014983,-0.036771,-0.007829,-0.173441,-0.345916,-0.099468,0.828041
0.230000,0.139070,0.086060,0.986536,-0.016772,-0.040266,-0.008863,-0.184406,-0.352744,-0.107311,0.828553
0.240000,0.138630,0.086233,0.986583,-0.018671,-0.043820,-0.009976,-0.195398,-0.357668,-0.115331,0.829079
0.250000,0.138173,0.086421,0.986630,-0.020680,-0.047414,-0.011170,-0.206412,-0.360650,-0.123515,0.829618
0.260000,0.137696,0.086621,0.986680,-0.022800,-0.051027,-0.012447,-0.217443,-0.361665,-0.131851,0.830169
