time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,omega_dot_x,omega_dot_y,omega_dot_z,mu
0.000000,0.145526,-0.033998,0.988770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.666298
0.010000,0.145525,-0.033996,0.988770,-0.000001,-0.000002,0.000000,-0.000767,-0.000309,0.000347,0.666309
0.020000,0.145525,-0.033994,0.988770,-0.000039,-0.000008,0.000016,-0.006879,-0.000962,0.002829,0.666364
0.030000,0.145525,-0.033992,0.988770,-0.000162,-0.000021,0.000066,-0.017414,-0.002012,0.007099,0.666457
0.040000,0.145525,-0.033989,0.988771,-0.000408,-0.000047,0.000167,-0.031567,-0.003491,0.012857,0.666583
0.050000,0.145525,-0.033987,0.988771,-0.000811,-0.000090,0.000331,-0.048631,-0.005412,0.019844,0.666740
0.060000,0.145522,-0.033957,0.988772,-0.001395,-0.000155,0.000570,-0.067991,-0.007778,0.027833,0.666923
0.070000,0.145519,-0.033927,0.988774,-0.002182,-0.000246,0.000892,-0.089114,-0.010577,0.036632,0.667129
0.080000,0.145516,-0.033896,0.988775,-0.003186,-0.000368,0.001306,-0.111538,-0.013792,0.046075,0.667356
0.090000,0.145513,-0.033866,0.988777,-0.004419,-0.000523,0.001817,-0.134864,-0.017398,0.056019,0.667600
0.100000,0.145510,-0.033836,0.988778,-0.005888,-0.000717,0.002429,-0.158752,-0.021368,0.066342,0.667861
0.110000,0.145497,-0.033722,0.988784,-0.007597,-0.000952,0.003145,-0.182909,-0.025668,0.076940,0.668136
0.120000,0.145484,-0.033608,0.988790,-0.009548,-0.001232,0.003969,-0.207088,-0.030267,0.087726,0.668423
0.130000,0.145472,-0.033494,0.988795,-0.011741,-0.001558,0.004901,-0.231076,-0.035132,0.098624,0.668720
0.140000,0.145459,-0.033380,0.988801,-0.014171,-0.001935,0.005942,-0.254698,-0.040229,0.109570,0.669028
0.150000,0.145446,-0.033266,0.988807,-0.016835,-0.002364,0.007093,-0.277805,-0.045528,0.120509,0.669344
