time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.730186,0.290133,-1.498285,-0.014505,-0.007840,0.004372,0.413612,-0.098915,0.066843,17.913909,-4.398620,2.284311,-253.804144,48.098844,-94.059762,-0.010143,-0.042426,0.000000,-0.452588,-1.845147,-0.000000
0.010000,-2.730331,0.290055,-1.498241,-0.010369,-0.008829,0.005040,0.592752,-0.142901,0.089686,15.375867,-3.917631,1.343714,-806.957948,175.841979,-187.541002,-0.014673,-0.060905,0.000000,-0.402812,-1.584196,0.000000
0.020000,-2.730393,0.289956,-1.498184,-0.002650,-0.010698,0.006165,0.721130,-0.177267,0.093717,1.774750,-0.881780,-1.466509,-1192.459090,267.655899,-214.684785,-0.018192,-0.074083,0.000000,-0.087499,-0.170488,-0.000000
0.030000,-2.730384,0.289841,-1.498118,0.004054,-0.012374,0.006914,0.628247,-0.160537,0.060356,-8.473314,1.435487,-2.949982,-435.586632,93.394087,-39.322370,-0.016430,-0.064349,0.000000,0.150924,0.884793,-0.000000
0.040000,-2.730312,0.289709,-1.498046,0.009915,-0.013908,0.007372,0.551664,-0.148558,0.034717,-6.936983,0.986102,-2.252956,144.651478,-42.431320,62.653255,-0.015172,-0.056375,0.000000,0.103573,0.720275,0.000000
0.050000,-2.730186,0.289562,-1.497970,0.015087,-0.015345,0.007609,0.489507,-0.140815,0.015297,-5.580285,0.586860,-1.696917,127.445469,-37.562082,49.481301,-0.014358,-0.049935,0.000000,0.061902,0.576883,0.000000
0.060000,-2.730011,0.289402,-1.497894,0.019705,-0.016725,0.007678,0.440058,-0.136820,0.000779,-4.388073,0.234860,-1.263330,111.718851,-32.979530,38.102692,-0.013933,-0.044832,0.000000,0.025426,0.452165,-0.000000
0.070000,-2.729792,0.289228,-1.497817,0.023888,-0.018082,0.007624,0.401745,-0.136117,-0.009970,-3.345908,-0.072730,-0.934863,97.400959,-28.676461,28.397256,-0.013849,-0.040888,0.000000,-0.006275,0.344011,-0.000000
0.080000,-2.729533,0.289040,-1.497741,0.027740,-0.019447,0.007479,0.373140,-0.138275,-0.017918,-2.440054,-0.338669,-0.695385,84.421141,-24.645678,20.244814,-0.014059,-0.037949,0.000000,-0.033567,0.250578,-0.000000
0.090000,-2.729237,0.288839,-1.497667,0.031351,-0.020847,0.007266,0.352944,-0.142891,-0.023878,-1.657485,-0.565644,-0.529967,72.708717,-20.879981,13.525192,-0.014520,-0.035875,0.000000,-0.056777,0.170245,0.000000
0.100000,-2.728906,0.288623,-1.497596,0.034799,-0.022305,0.007001,0.339990,-0.149588,-0.028518,-0.985880,-0.756269,-0.424881,62.192996,-17.372170,8.118218,-0.015194,-0.034543,0.000000,-0.076202,0.101565,0.000000
0.110000,-2.728541,0.288393,-1.497527,0.038151,-0.023839,0.006696,0.333227,-0.158016,-0.032375,-0.413625,-0.913087,-0.367602,52.803337,-14.115045,3.903716,-0.016044,-0.033843,0.000000,-0.092118,0.043234,0.000000
0.120000,-2.728143,0.288147,-1.497462,0.041464,-0.025465,0.006354,0.331717,-0.167850,-0.035870,0.070187,-1.038570,-0.346807,44.469094,-11.101409,0.761506,-0.017036,-0.033678,0.000000,-0.104789,-0.005934,0.000000
0.130000,-2.727712,0.287884,-1.497400,0.044785,-0.027196,0.005978,0.334630,-0.178787,-0.039312,0.475757,-1.135115,-0.352372,37.119579,-8.324061,-1.428580,-0.018140,-0.033962,0.000000,-0.114466,-0.047026,0.000000
0.140000,-2.727247,0.287603,-1.497342,0.048156,-0.029041,0.005568,0.341233,-0.190552,-0.042917,0.812578,-1.205051,-0.375378,30.684089,-5.775795,-2.786703,-0.019326,-0.034619,0.000000,-0.121395,-0.081039,-0.000000
0.150000,-2.726749,0.287303,-1.497289,0.051610,-0.031007,0.005120,0.350882,-0.202888,-0.046819,1.089439,-1.250631,-0.408106,25.091988,-3.449416,-3.433058,-0.020568,-0.035583,0.000000,-0.125815,-0.108891,-0.000000
0.160000,-2.726215,0.286983,-1.497240,0.055174,-0.033099,0.004631,0.363021,-0.215565,-0.051079,1.314418,-1.274039,-0.444040,20.272655,-1.337735,-3.487831,-0.021842,-0.036797,0.000000,-0.127961,-0.131426,-0.000000
0.170000,-2.725645,0.286641,-1.497196,0.058870,-0.035318,0.004098,0.377170,-0.228369,-0.055700,1.494892,-1.277386,-0.477863,16.150994,0.564915,-3.089624,-0.023127,-0.038212,0.000000,-0.128062,-0.149414,-0.000000
0.180000,-2.725038,0.286276,-1.497158,0.062717,-0.037666,0.003517,0.392919,-0.241112,-0.060636,1.637438,-1.262741,-0.505832,12.579941,2.238754,-2.681080,-0.024403,-0.039786,0.000000,-0.126343,-0.163542,0.000000
0.190000,-2.724391,0.285887,-1.497126,0.066729,-0.040141,0.002886,0.409919,-0.253624,-0.065817,1.746490,-1.232611,-0.531485,9.515277,3.700303,-2.270880,-0.025654,-0.041484,0.000000,-0.123056,-0.174254,-0.000000
0.200000,-2.723703,0.285473,-1.497100,0.070916,-0.042739,0.002201,0.427849,-0.265765,-0.071266,1.827744,-1.188735,-0.551250,7.450021,5.155877,0.400276,-0.026864,-0.043272,0.000000,-0.118393,-0.182148,0.000000
0.210000,-2.722972,0.285033,-1.497082,0.075286,-0.045456,0.001460,0.446474,-0.277399,-0.076842,1.895491,-1.129493,-0.523479,6.253120,6.591344,4.957265,-0.028021,-0.045128,0.000000,-0.112314,-0.188868,-0.000000
0.220000,-2.722197,0.284564,-1.497071,0.079845,-0.048287,0.000664,0.465759,-0.288354,-0.081736,1.952806,-1.056908,-0.452104,4.234355,7.444258,4.457162,-0.029111,-0.047051,0.000000,-0.105042,-0.194751,-0.000000
0.230000,-2.721376,0.284067,-1.497069,0.084601,-0.051223,-0.000175,0.485530,-0.298537,-0.085884,1.980178,-0.980608,-0.434336,1.237766,7.733873,-1.343871,-0.030122,-0.049025,0.000000,-0.097271,-0.197383,-0.000000
0.240000,-2.720505,0.283540,-1.497075,0.089556,-0.054257,-0.001054,0.505362,-0.307967,-0.090422,1.977561,-0.902230,-0.478982,-0.543938,8.252269,-3.093893,-0.031056,-0.051000,0.000000,-0.089111,-0.196668,-0.000000
0.250000,-2.719584,0.282982,-1.497090,0.094708,-0.057382,-0.001983,0.525081,-0.316582,-0.095463,1.969299,-0.815563,-0.496214,-0.532488,8.924628,0.082466,-0.031905,-0.052960,0.000000,-0.080208,-0.195505,-0.000000
0.260000,-2.718611,0.282392,-1.497114,0.100057,-0.060589,-0.002963,0.544748,-0.324278,-0.100347,1.966912,-0.723738,-0.477332,-0.332648,9.249614,1.776257,-0.032660,-0.054912,0.000000,-0.070918,-0.195129,0.000000
0.270000,-2.717583,0.281770,-1.497149,0.105603,-0.063868,-0.003990,0.564420,-0.331056,-0.105010,1.962646,-0.630570,-0.460688,-1.316792,9.668354,1.379504,-0.033323,-0.056864,0.000000,-0.061508,-0.194563,0.000000
0.280000,-2.716499,0.281115,-1.497194,0.111346,-0.067210,-0.005063,0.584001,-0.336889,-0.109560,1.940576,-0.530371,-0.449742,-3.053971,10.403442,1.099596,-0.033890,-0.058806,0.000000,-0.051395,-0.192185,-0.000000
0.290000,-2.715356,0.280426,-1.497250,0.117283,-0.070606,-0.006181,0.603231,-0.341664,-0.114005,1.901567,-0.422502,-0.438697,-3.879074,10.828514,1.159875,-0.034351,-0.060710,0.000000,-0.040535,-0.188119,0.000000
0.300000,-2.714153,0.279703,-1.497318,0.123410,-0.074043,-0.007343,0.622033,-0.345339,-0.118334,1.862994,-0.313801,-0.426545,-3.520753,10.778797,1.272451,-0.034701,-0.062570,0.000000,-0.029617,-0.184118,-0.000000
0.310000,-2.712888,0.278945,-1.497397,0.129724,-0.077512,-0.008548,0.640491,-0.347940,-0.122536,1.831152,-0.206926,-0.413248,-3.153178,10.711813,1.363049,-0.034943,-0.064395,0.000000,-0.018905,-0.180813,0.000000
0.320000,-2.711559,0.278152,-1.497489,0.136220,-0.081002,-0.009794,0.658656,-0.349478,-0.126599,1.799931,-0.099564,-0.399284,-3.508379,10.931767,1.409788,-0.035079,-0.066189,0.000000,-0.008164,-0.177588,-0.000000
0.330000,-2.710164,0.277325,-1.497593,0.142897,-0.084502,-0.011080,0.676490,-0.349931,-0.130521,1.760984,0.011710,-0.385052,-4.244916,11.306601,1.430945,-0.035107,-0.067949,0.000000,0.002947,-0.173604,-0.000000
0.340000,-2.708701,0.276462,-1.497710,0.149750,-0.088001,-0.012404,0.693875,-0.349244,-0.134300,1.715032,0.126568,-0.370665,-4.502472,11.476290,1.452008,-0.035020,-0.069663,0.000000,0.014398,-0.168936,-0.000000
0.350000,-2.707169,0.275565,-1.497841,0.156774,-0.091487,-0.013766,0.710790,-0.347400,-0.137935,1.670935,0.241236,-0.356012,-4.160386,11.386844,1.479018,-0.034819,-0.071330,0.000000,0.025813,-0.164471,-0.000000
0.360000,-2.705565,0.274633,-1.497986,0.163966,-0.094949,-0.015163,0.727294,-0.344419,-0.141421,1.631825,0.354305,-0.341085,-3.820356,11.290509,1.495332,-0.034504,-0.072955,0.000000,0.037053,-0.160521,0.000000
0.370000,-2.703889,0.273666,-1.498144,0.171320,-0.098375,-0.016594,0.743427,-0.340314,-0.144756,1.594528,0.467046,-0.326105,-3.850551,11.347188,1.482418,-0.034078,-0.074542,0.000000,0.048247,-0.156765,0.000000
0.380000,-2.702139,0.272665,-1.498317,0.178834,-0.101755,-0.018058,0.759185,-0.335078,-0.147943,1.554814,0.581248,-0.311436,-4.075463,11.483716,1.445366,-0.033539,-0.076092,0.000000,0.059575,-0.152779,0.000000
0.390000,-2.700313,0.271631,-1.498505,0.186504,-0.105077,-0.019553,0.774523,-0.328689,-0.150985,1.513018,0.696720,-0.297198,-4.063498,11.511275,1.409376,-0.032886,-0.077600,0.000000,0.071019,-0.148595,-0.000000
0.400000,-2.698409,0.270564,-1.498709,0.194325,-0.108329,-0.021078,0.789445,-0.321144,-0.153887,1.473544,0.811474,-0.283249,-3.755462,11.402114,1.380943,-0.032119,-0.079065,0.000000,0.082384,-0.144653,0.000000
0.410000,-2.696426,0.269464,-1.498927,0.202293,-0.111500,-0.022631,0.803994,-0.312459,-0.156650,1.437909,0.924762,-0.269579,-3.452903,11.288008,1.343834,-0.031239,-0.080494,0.000000,0.093595,-0.141103,-0.000000
0.420000,-2.694363,0.268334,-1.499161,0.210405,-0.114578,-0.024211,0.818203,-0.302648,-0.159278,1.404486,1.037234,-0.256372,-3.338437,11.251861,1.284750,-0.030247,-0.081889,0.000000,0.104719,-0.137779,-0.000000
0.430000,-2.692218,0.267173,-1.499411,0.218657,-0.117553,-0.025816,0.832084,-0.291714,-0.161777,1.371140,1.149800,-0.243884,-3.324061,11.255075,1.209680,-0.029144,-0.083251,0.000000,0.115848,-0.134467,-0.000000
0.440000,-2.689990,0.265983,-1.499677,0.227046,-0.120412,-0.027446,0.845626,-0.279652,-0.164156,1.338004,1.262336,-0.232178,-3.196048,11.199426,1.137176,-0.027930,-0.084579,0.000000,0.126970,-0.131179,0.000000
