time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.992302,-0.698954,-1.385388,-0.021473,-0.005236,0.012031,1.030779,-0.275481,-0.245714,-16.463292,4.520151,7.350797,298.467346,-55.806091,-173.279420,-0.027246,-0.102150,0.000000,0.422613,1.545456,-0.000000
0.010000,-2.992467,-0.699020,-1.385279,-0.011940,-0.007774,0.009913,0.880486,-0.232966,-0.180421,-13.652431,3.992992,5.751495,264.180180,-49.709668,-147.043457,-0.023225,-0.087906,0.000000,0.381887,1.305320,0.000000
0.020000,-2.992545,-0.699108,-1.385188,-0.003775,-0.009912,0.008373,0.756634,-0.195426,-0.129855,-11.170386,3.524318,4.400916,232.683779,-44.105360,-123.511175,-0.019602,-0.075975,0.000000,0.343112,1.083606,-0.000000
0.030000,-2.992547,-0.699217,-1.385110,0.003270,-0.011697,0.007275,0.656073,-0.162301,-0.091662,-8.989862,3.109315,3.272731,203.855519,-38.971850,-102.541008,-0.016354,-0.066162,0.000000,0.306889,0.882024,-0.000000
0.040000,-2.992482,-0.699341,-1.385041,0.009414,-0.013171,0.006506,0.575919,-0.133076,-0.063743,-7.084790,2.743382,2.342027,177.572851,-34.287826,-83.991396,-0.013454,-0.058262,0.000000,0.273583,0.701254,-0.000000
0.050000,-2.992361,-0.699479,-1.384979,0.014848,-0.014370,0.005972,0.513542,-0.107284,-0.044241,-5.430336,2.422131,1.585307,153.712329,-30.032020,-67.720729,-0.010872,-0.052067,0.000000,0.243378,0.541180,0.000000
0.060000,-2.992187,-0.699628,-1.384921,0.019736,-0.015327,0.005598,0.466556,-0.084499,-0.031530,-4.002879,2.141385,0.980488,132.152189,-26.183065,-53.587482,-0.008576,-0.047371,0.000000,0.216309,0.401094,0.000000
0.070000,-2.991967,-0.699785,-1.384867,0.024223,-0.016069,0.005324,0.432803,-0.064335,-0.024194,-2.780034,1.897184,0.506904,112.769421,-22.719668,-41.450071,-0.006536,-0.043982,0.000000,0.192305,0.279874,0.000000
0.080000,-2.991704,-0.699949,-1.384815,0.028430,-0.016621,0.005100,0.410344,-0.046446,-0.021019,-1.740642,1.685778,0.145305,95.441325,-19.620505,-31.166931,-0.004720,-0.041715,0.000000,0.171218,0.176130,0.000000
0.090000,-2.991399,-0.700117,-1.384765,0.032462,-0.017004,0.004893,0.397445,-0.030522,-0.020975,-0.864768,1.503631,-0.122144,80.045142,-16.864234,-22.596501,-0.003102,-0.040406,0.000000,0.152849,0.088321,-0.000000
0.100000,-2.991055,-0.700288,-1.384717,0.036406,-0.017237,0.004673,0.392566,-0.016287,-0.023203,-0.133704,1.347419,-0.311861,66.458641,-14.429752,-15.597146,-0.001655,-0.039901,0.000000,0.136970,0.014840,0.000000
