time,k0_0,k0_1,k0_2,k0_3,k0_4,k0_5,k0_6,k0_7,k0_8,k0_9,k0_10,k0_11,k0_12,k1_0,k1_1,k1_2,k1_3,k1_4,k1_5,k1_6,k1_7,k1_8,k1_9,k1_10,k1_11,k1_12,k2_0,k2_1,k2_2,k2_3,k2_4,k2_5,k2_6,k2_7,k2_8,k2_9,k2_10,k2_11,k2_12,k3_0,k3_1,k3_2,k3_3,k3_4,k3_5,k3_6,k3_7,k3_8,k3_9,k3_10,k3_11,k3_12,k4_0,k4_1,k4_2,k4_3,k4_4,k4_5,k4_6,k4_7,k4_8,k4_9,k4_10,k4_11,k4_12,k5_0,k5_1,k5_2,k5_3,k5_4,k5_5,k5_6,k5_7,k5_8,k5_9,k5_10,k5_11,k5_12
0.000000,-2.780989,0.000000,0.000000,-3.265927,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-2.711273,0.000000,0.000000,-3.196762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.952250,0.000000,0.000000,-1.369333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000294,-0.076051,0.000072,-0.000376,-0.074202,0.000007,-0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000292,-0.000072,-0.055314,-0.000266,-0.000007,-0.068000,-0.000002,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000177,0.000572,0.000388,-0.130906,0.000001,-0.000002,-0.140314
0.010000,-2.780982,0.000000,0.000000,-3.265926,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.711266,0.000000,0.000000,-3.196761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.952247,0.000000,0.000000,-1.369332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000296,-0.076043,0.000074,-0.000373,-0.074202,0.000005,-0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000296,-0.000073,-0.055301,-0.000265,-0.000005,-0.067999,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000173,0.000559,0.000381,-0.130886,-0.000000,-0.000001,-0.140314
0.020000,-2.780975,0.000000,0.000000,-3.265925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.711259,0.000000,0.000000,-3.196760,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.952245,0.000000,0.000000,-1.369330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000296,-0.076035,0.000075,-0.000371,-0.074201,0.000004,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000298,-0.000074,-0.055287,-0.000263,-0.000004,-0.067999,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000170,0.000550,0.000376,-0.130866,-0.000001,-0.000001,-0.140314
0.030000,-2.780968,0.000000,0.000000,-3.265924,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.711252,0.000000,0.000000,-3.196759,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.952242,0.000000,0.000000,-1.369329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000295,-0.076026,0.000076,-0.000368,-0.074201,0.000003,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000299,-0.000075,-0.055274,-0.000262,-0.000003,-0.067999,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000168,0.000543,0.000372,-0.130845,-0.000001,-0.000001,-0.140313
0.040000,-2.780961,0.000000,0.000000,-3.265923,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.711245,0.000000,0.000000,-3.196757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.952240,0.000000,0.000000,-1.369327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000294,-0.076018,0.000076,-0.000366,-0.074201,0.000002,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000299,-0.000075,-0.055260,-0.000260,-0.000003,-0.067999,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000166,0.000539,0.000369,-0.130825,-0.000001,-0.000001,-0.140313
0.050000,-2.780954,0.000000,0.000000,-3.265922,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-2.711238,0.000000,0.000000,-3.196756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.952237,0.000000,0.000000,-1.369326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000293,-0.076010,0.000076,-0.000365,-0.074201,0.000002,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000298,-0.000075,-0.055246,-0.000259,-0.000002,-0.067999,0.000006,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000165,0.000535,0.000367,-0.130804,-0.000001,-0.000001,-0.140313
0.060000,-2.780946,0.000000,0.000000,-3.265921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.711231,0.000000,0.000000,-3.196755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.952234,0.000000,0.000000,-1.369324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000292,-0.076001,0.000076,-0.000363,-0.074201,0.000002,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000297,-0.000075,-0.055232,-0.000257,-0.000002,-0.067998,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000164,0.000532,0.000364,-0.130783,-0.000001,-0.000001,-0.140312
0.070000,-2.780939,0.000000,0.000000,-3.265920,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.711223,0.000000,0.000000,-3.196754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.952231,0.000000,0.000000,-1.369322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000290,-0.075993,0.000075,-0.000361,-0.074201,0.000002,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000296,-0.000074,-0.055218,-0.000256,-0.000002,-0.067998,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000163,0.000530,0.000362,-0.130761,-0.000001,-0.000001,-0.140312
0.080000,-2.780931,0.000000,0.000000,-3.265919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.711216,0.000000,0.000000,-3.196753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.952228,0.000000,0.000000,-1.369321,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000288,-0.075984,0.000075,-0.000360,-0.074201,0.000002,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000295,-0.000074,-0.055204,-0.000254,-0.000002,-0.067998,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000162,0.000528,0.000360,-0.130740,-0.000001,-0.000001,-0.140312
0.090000,-2.780923,0.000000,0.000000,-3.265918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.711208,0.000000,0.000000,-3.196752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.952225,0.000000,0.000000,-1.369319,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000287,-0.075975,0.000074,-0.000358,-0.074201,0.000002,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000293,-0.000074,-0.055190,-0.000253,-0.000002,-0.067998,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000162,0.000526,0.000358,-0.130718,-0.000001,-0.000001,-0.140312
