time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.733100,-0.307424,-1.483800,-0.000307,0.000046,-0.024194,0.157981,-0.057369,0.122858,-0.638488,1.311446,-1.628309,44.892251,2.868361,29.625069,-0.005921,-0.016307,0.000000,0.136346,0.068633,0.000000
0.010000,-2.733096,-0.307426,-1.484036,0.001248,-0.000462,-0.023042,0.153770,-0.044101,0.107968,-0.210528,1.343049,-1.358507,40.734852,3.417574,24.434218,-0.004545,-0.015848,0.000000,0.139044,0.023912,0.000000
0.020000,-2.733076,-0.307432,-1.484261,0.002782,-0.000835,-0.022027,0.153635,-0.030493,0.095525,0.176904,1.379126,-1.137701,36.786119,3.765504,19.820634,-0.003138,-0.015814,0.000000,0.142315,-0.016354,0.000000
0.030000,-2.733040,-0.307442,-1.484477,0.004333,-0.001070,-0.021125,0.157180,-0.016510,0.085069,0.525876,1.417736,-0.960273,33.042069,3.926488,15.753361,-0.001697,-0.016161,0.000000,0.145933,-0.052465,0.000000
0.040000,-2.732989,-0.307453,-1.484684,0.005936,-0.001164,-0.020320,0.164031,-0.002135,0.076193,0.838415,1.457081,-0.820916,29.498739,3.914867,12.201435,-0.000219,-0.016850,0.000000,0.149690,-0.084689,-0.000000
0.050000,-2.732921,-0.307465,-1.484883,0.007623,-0.001112,-0.019597,0.173833,0.012629,0.068541,1.116505,1.495506,-0.714628,26.151959,3.744969,9.134089,0.001296,-0.017843,0.000000,0.153397,-0.113269,0.000000
0.060000,-2.732836,-0.307475,-1.485076,0.009422,-0.000910,-0.018946,0.186253,0.027767,0.061806,1.362096,1.531500,-0.636722,22.997939,3.431136,6.520153,0.002848,-0.019104,0.000000,0.156883,-0.138429,0.000000
0.070000,-2.732732,-0.307482,-1.485262,0.011356,-0.000555,-0.018359,0.200973,0.043246,0.055726,1.577093,1.563697,-0.582816,20.032607,2.987703,4.328772,0.004433,-0.020601,0.000000,0.159992,-0.160382,-0.000000
0.080000,-2.732608,-0.307486,-1.485443,0.013448,-0.000044,-0.017830,0.217699,0.059024,0.050083,1.763364,1.590870,-0.548841,17.251947,2.429009,2.529028,0.006046,-0.022302,0.000000,0.162590,-0.179327,0.000000
0.090000,-2.732463,-0.307483,-1.485619,0.015716,0.000626,-0.017356,0.236151,0.075043,0.044695,1.922734,1.611940,-0.531033,14.651908,1.769398,1.090047,0.007682,-0.024178,0.000000,0.164556,-0.195459,0.000000
0.100000,-2.732293,-0.307473,-1.485791,0.018176,0.001458,-0.016936,0.256070,0.091239,0.039420,2.056994,1.625969,-0.525945,12.228824,1.023175,-0.019562,0.009335,-0.026202,0.000000,0.165790,-0.208966,0.000000
0.110000,-2.732098,-0.307453,-1.485958,0.020841,0.002451,-0.016568,0.277213,0.107536,0.034145,2.167887,1.632163,-0.530430,9.978314,0.204709,-0.830206,0.010995,-0.028349,0.000000,0.166206,-0.220030,-0.000000
0.120000,-2.731876,-0.307423,-1.486122,0.023723,0.003608,-0.016253,0.299355,0.123854,0.028789,2.257122,1.629870,-0.541656,7.896514,-0.671674,-1.373026,0.012656,-0.030596,0.000000,0.165739,-0.228834,0.000000
0.130000,-2.731623,-0.307380,-1.486283,0.026831,0.004928,-0.015993,0.322289,0.140104,0.023297,2.326366,1.618584,-0.557101,5.979395,-1.591643,-1.678955,0.014307,-0.032919,0.000000,0.164337,-0.235553,0.000000
0.140000,-2.731338,-0.307324,-1.486442,0.030171,0.006410,-0.015788,0.345821,0.156194,0.017640,2.377246,1.597940,-0.574549,4.222860,-2.540867,-1.778887,0.015939,-0.035301,0.000000,0.161969,-0.240363,0.000000
0.150000,-2.731019,-0.307252,-1.486599,0.033749,0.008051,-0.015640,0.369778,0.172031,0.011806,2.411345,1.567717,-0.592095,2.622712,-3.505018,-1.703616,0.017543,-0.037721,0.000000,0.158617,-0.243436,-0.000000
0.160000,-2.730663,-0.307162,-1.486755,0.037567,0.009849,-0.015552,0.393998,0.187517,0.005803,2.430226,1.527839,-0.608149,1.176629,-4.469643,-1.484950,0.019108,-0.040165,0.000000,0.154280,-0.244943,-0.000000
0.170000,-2.730267,-0.307054,-1.486910,0.041629,0.011800,-0.015525,0.418337,0.202556,-0.000347,2.435380,1.478371,-0.621419,-0.121475,-5.420564,-1.152818,0.020625,-0.042617,0.000000,0.148973,-0.245047,0.000000
0.180000,-2.729829,-0.306926,-1.487066,0.045934,0.013899,-0.015560,0.442665,0.217053,-0.006613,2.428280,1.419522,-0.630931,-1.274723,-6.343394,-0.738524,0.022085,-0.045063,0.000000,0.142725,-0.243910,0.000000
0.190000,-2.729347,-0.306776,-1.487222,0.050482,0.016139,-0.015657,0.466866,0.230916,-0.012951,2.410355,1.351644,-0.636019,-2.286917,-7.223812,-0.273016,0.023477,-0.047492,0.000000,0.135581,-0.241690,-0.000000
0.200000,-2.728819,-0.306603,-1.487379,0.055271,0.018515,-0.015819,0.490840,0.244057,-0.019317,2.382985,1.275236,-0.636324,-3.163365,-8.047363,0.212734,0.024794,-0.049895,0.000000,0.127597,-0.238535,-0.000000
0.210000,-2.728241,-0.306405,-1.487538,0.060298,0.021018,-0.016044,0.514530,0.256483,-0.025800,2.354708,1.211326,-0.663449,-3.764509,-8.396763,0.062190,0.026035,-0.052264,0.000000,0.120828,-0.235150,-0.000000
0.220000,-2.727612,-0.306182,-1.487700,0.065560,0.023641,-0.016334,0.537811,0.267975,-0.032128,2.296201,1.073731,-0.582675,-6.661854,-15.546536,10.557353,0.027180,-0.054589,0.000000,0.106904,-0.229299,0.000000
0.230000,-2.726929,-0.305932,-1.487865,0.071052,0.026372,-0.016684,0.560499,0.278115,-0.037716,2.248204,0.975457,-0.568530,-2.880412,-3.986088,-7.904941,0.028189,-0.056855,0.000000,0.096829,-0.224195,-0.000000
0.240000,-2.726190,-0.305654,-1.488034,0.076769,0.029202,-0.017091,0.582830,0.287662,-0.043791,2.213538,0.922101,-0.628921,-5.304072,-10.274123,1.408520,0.029134,-0.059079,0.000000,0.091098,-0.220000,0.000000
0.250000,-2.725393,-0.305348,-1.488207,0.082707,0.032122,-0.017559,0.604662,0.296268,-0.049859,2.153188,0.800718,-0.587854,-5.488377,-10.406667,1.233410,0.029983,-0.061249,0.000000,0.078805,-0.213822,-0.000000
0.260000,-2.724535,-0.305011,-1.488386,0.088860,0.035123,-0.018087,0.625897,0.303741,-0.055676,2.093125,0.693225,-0.575383,-5.757179,-10.757400,1.383540,0.030716,-0.063357,0.000000,0.067865,-0.207529,0.000000
0.270000,-2.723615,-0.304645,-1.488569,0.095223,0.038194,-0.018672,0.646578,0.310148,-0.061352,2.045223,0.588720,-0.559081,-4.544144,-10.454395,1.753045,0.031342,-0.065407,0.000000,0.057264,-0.202509,0.000000
0.280000,-2.722630,-0.304247,-1.488759,0.101790,0.041323,-0.019314,0.666762,0.315491,-0.066859,1.987085,0.477598,-0.542921,-7.096334,-11.773784,1.472689,0.031859,-0.067405,0.000000,0.046024,-0.196479,-0.000000
0.290000,-2.721579,-0.303818,-1.488956,0.108556,0.044500,-0.020009,0.686278,0.319675,-0.072213,1.918295,0.359783,-0.527220,-5.913578,-11.463038,1.787497,0.032260,-0.069334,0.000000,0.034138,-0.189399,-0.000000
0.300000,-2.720458,-0.303357,-1.489160,0.115514,0.047713,-0.020757,0.705185,0.322705,-0.077391,1.862704,0.245720,-0.508262,-5.933603,-11.664116,1.879538,0.032544,-0.071201,0.000000,0.022665,-0.183693,0.000000
0.310000,-2.719268,-0.302864,-1.489371,0.122658,0.050950,-0.021556,0.723505,0.324570,-0.082380,1.801014,0.126710,-0.489553,-5.915050,-11.847624,1.954296,0.032711,-0.073008,0.000000,0.010719,-0.177397,-0.000000
0.320000,-2.718005,-0.302338,-1.489591,0.129982,0.054200,-0.022404,0.741246,0.325257,-0.087172,1.748983,0.011485,-0.468349,-4.953787,-11.470298,2.192063,0.032760,-0.074755,0.000000,-0.000815,-0.172113,0.000000
0.330000,-2.716668,-0.301780,-1.489819,0.137481,0.057451,-0.023299,0.758465,0.324782,-0.091750,1.692212,-0.108437,-0.447695,-6.409605,-12.518860,1.933445,0.032693,-0.076450,0.000000,-0.012801,-0.166371,0.000000
0.340000,-2.715255,-0.301189,-1.490057,0.145149,0.060691,-0.024239,0.775070,0.323070,-0.096129,1.630376,-0.233207,-0.427861,-5.479528,-12.151680,2.124252,0.032502,-0.078082,0.000000,-0.025255,-0.160138,0.000000
0.350000,-2.713764,-0.300566,-1.490304,0.152980,0.063909,-0.025221,0.791115,0.320136,-0.100299,1.578699,-0.353778,-0.406043,-5.324522,-12.238282,2.144094,0.032190,-0.079659,0.000000,-0.037264,-0.154960,0.000000
0.360000,-2.712194,-0.299911,-1.490561,0.160969,0.067090,-0.026244,0.806632,0.315981,-0.104253,1.524852,-0.477459,-0.384933,-5.149188,-12.308399,2.148970,0.031756,-0.081182,0.000000,-0.049570,-0.149579,0.000000
0.370000,-2.710544,-0.299224,-1.490829,0.169111,0.070224,-0.027305,0.821642,0.310600,-0.107991,1.478469,-0.598170,-0.362431,-4.407888,-12.011658,2.278561,0.031200,-0.082655,0.000000,-0.061561,-0.144976,0.000000
0.380000,-2.708812,-0.298507,-1.491108,0.177401,0.073298,-0.028403,0.836195,0.304008,-0.111506,1.430801,-0.721434,-0.340889,-5.131936,-12.644035,2.025790,0.030524,-0.084082,0.000000,-0.073799,-0.140254,0.000000
0.390000,-2.706996,-0.297759,-1.491397,0.185833,0.076300,-0.029535,0.850251,0.296161,-0.114814,1.381610,-0.847336,-0.320515,-4.417985,-12.351082,2.119113,0.029723,-0.085461,0.000000,-0.086293,-0.135387,0.000000
0.400000,-2.705095,-0.296981,-1.491699,0.194404,0.079217,-0.030698,0.863858,0.287075,-0.117912,1.340051,-0.969955,-0.299150,-4.177486,-12.352289,2.081149,0.028799,-0.086794,0.000000,-0.098448,-0.131307,0.000000
0.410000,-2.703107,-0.296175,-1.492011,0.203109,0.082037,-0.031892,0.877049,0.276756,-0.120801,1.298626,-1.093986,-0.278792,-3.929217,-12.339434,2.034155,0.027753,-0.088088,0.000000,-0.110740,-0.127246,0.000000
0.420000,-2.701032,-0.295341,-1.492336,0.211944,0.084748,-0.033114,0.889853,0.265205,-0.123485,1.263117,-1.215664,-0.258079,-3.343262,-12.102505,2.063537,0.026585,-0.089343,0.000000,-0.122791,-0.123793,0.000000
0.430000,-2.698868,-0.294480,-1.492674,0.220905,0.087337,-0.034361,0.902312,0.252439,-0.125966,1.228177,-1.338274,-0.238460,-3.649299,-12.420530,1.857876,0.025297,-0.090564,0.000000,-0.134935,-0.120398,0.000000
0.440000,-2.696613,-0.293594,-1.493024,0.229989,0.089793,-0.035632,0.914416,0.238436,-0.128259,1.193612,-1.461828,-0.220058,-3.090252,-12.178195,1.865786,0.023886,-0.091751,0.000000,-0.147175,-0.117041,-0.000000
0.450000,-2.694268,-0.292685,-1.493387,0.239192,0.092102,-0.036926,0.926207,0.223213,-0.130366,1.164913,-1.582725,-0.201533,-2.822635,-12.108506,1.794471,0.022355,-0.092908,0.000000,-0.159147,-0.114280,0.000000
0.460000,-2.691829,-0.291753,-1.493762,0.248512,0.094253,-0.038239,0.937717,0.206780,-0.132294,1.137470,-1.703717,-0.184057,-2.556322,-12.025365,1.720156,0.020703,-0.094038,0.000000,-0.171131,-0.111644,0.000000
0.470000,-2.689297,-0.290800,-1.494151,0.257946,0.096234,-0.039571,0.948974,0.189147,-0.134048,1.114791,-1.822615,-0.166954,-2.086214,-11.812428,1.680775,0.018933,-0.095143,0.000000,-0.182908,-0.109487,0.000000
0.480000,-2.686670,-0.289829,-1.494554,0.267491,0.098032,-0.040920,0.960017,0.170328,-0.135636,1.093503,-1.941190,-0.150853,-2.175309,-11.902227,1.538688,0.017045,-0.096228,0.000000,-0.194656,-0.107467,0.000000
0.490000,-2.683947,-0.288840,-1.494970,0.277146,0.099636,-0.042283,0.970848,0.150324,-0.137069,1.073425,-2.059392,-0.135789,-1.733550,-11.675031,1.493671,0.015040,-0.097293,0.000000,-0.206370,-0.105564,-0.000000
0.500000,-2.681127,-0.287837,-1.495400,0.286907,0.101035,-0.043660,0.981502,0.129150,-0.138353,1.057906,-2.175163,-0.121135,-1.478706,-11.537805,1.417111,0.012919,-0.098342,0.000000,-0.217843,-0.104116,0.000000
0.510000,-2.678208,-0.286820,-1.495843,0.296775,0.102215,-0.045050,0.992010,0.106823,-0.139495,1.043995,-2.289927,-0.107324,-1.231342,-11.386089,1.343828,0.010683,-0.099376,0.000000,-0.229218,-0.102826,-0.000000
0.520000,-2.675191,-0.285793,-1.496301,0.306747,0.103167,-0.046450,1.002396,0.083359,-0.140502,1.033931,-2.402596,-0.094262,-0.853780,-11.171156,1.270862,0.008335,-0.100400,0.000000,-0.240387,-0.101915,0.000000
0.530000,-2.672073,-0.284758,-1.496772,0.316823,0.103879,-0.047859,1.012693,0.058776,-0.141382,1.025398,-2.513843,-0.081859,-0.856449,-11.076747,1.210622,0.005876,-0.101415,0.000000,-0.251415,-0.101154,-0.000000
0.540000,-2.668854,-0.283716,-1.497258,0.327001,0.104339,-0.049277,1.022908,0.033087,-0.142141,1.018213,-2.623564,-0.070063,-0.510145,-10.839208,1.148168,0.003307,-0.102423,0.000000,-0.262291,-0.100525,-0.000000
0.550000,-2.665533,-0.282672,-1.497758,0.337281,0.104537,-0.050702,1.033070,0.006313,-0.142785,1.014553,-2.730800,-0.058862,-0.295237,-10.631379,1.094966,0.000631,-0.103427,0.000000,-0.272919,-0.100243,0.000000
0.560000,-2.662108,-0.281627,-1.498272,0.347662,0.104462,-0.052132,1.043204,-0.021523,-0.143319,1.012421,-2.836027,-0.048006,-0.090700,-10.407908,1.052453,-0.002151,-0.104428,0.000000,-0.283346,-0.100111,-0.000000
0.570000,-2.658579,-0.280584,-1.498800,0.358145,0.104103,-0.053568,1.053329,-0.050399,-0.143749,1.013091,-2.938874,-0.038016,0.181878,-10.162608,0.971520,-0.005035,-0.105430,0.000000,-0.293533,-0.100252,0.000000
0.580000,-2.654945,-0.279546,-1.499343,0.368729,0.103451,-0.055007,1.063470,-0.080292,-0.144079,1.015159,-3.039308,-0.028026,0.228498,-9.921990,1.028979,-0.008020,-0.106434,0.000000,-0.303477,-0.100533,0.000000
