time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-3.341163,-0.299266,-1.474494,0.000365,-0.004295,-0.026812,0.078044,0.011399,0.048259,3.886593,0.317604,2.193369,3.659746,-22.630160,-20.833211,0.001168,-0.007995,0.000000,0.032793,-0.399916,0.000000
0.010000,-3.341159,-0.299309,-1.474762,0.001145,-0.004181,-0.026330,0.116910,0.014575,0.070193,3.923190,0.091302,1.985036,-86.680421,-39.491398,-85.100713,0.001496,-0.012003,0.000000,0.009671,-0.405187,-0.000000
0.020000,-3.341140,-0.299349,-1.475021,0.002703,-0.004003,-0.025408,0.156507,0.013225,0.087960,2.152984,-0.472224,0.491354,-169.299228,-40.648941,-137.250221,0.001360,-0.016097,0.000000,-0.048502,-0.222210,0.000000
0.030000,-3.341105,-0.299389,-1.475271,0.004275,-0.003916,-0.024570,0.159969,0.005131,0.080020,0.537206,-0.721676,-0.759968,-62.544519,-4.443902,-59.656268,0.000527,-0.016439,0.000000,-0.074202,-0.053913,0.000000
0.040000,-3.341055,-0.299428,-1.475512,0.005902,-0.003901,-0.023808,0.167252,-0.001208,0.072761,0.902094,-0.561102,-0.701771,34.809784,14.657381,4.906574,-0.000124,-0.017175,0.000000,-0.057607,-0.091379,0.000000
0.050000,-3.340987,-0.299467,-1.475747,0.007620,-0.003940,-0.023115,0.178011,-0.006091,0.065984,1.233401,-0.428529,-0.661836,31.525534,12.044912,3.221074,-0.000625,-0.018267,0.000000,-0.043927,-0.125298,0.000000
0.060000,-3.340902,-0.299506,-1.475975,0.009463,-0.004022,-0.022488,0.191920,-0.009779,0.059524,1.532605,-0.320204,-0.637350,28.388420,9.795260,1.807529,-0.001003,-0.019681,0.000000,-0.032765,-0.155835,-0.000000
0.070000,-3.340798,-0.299547,-1.476196,0.011459,-0.004136,-0.021925,0.208663,-0.012495,0.053237,1.801170,-0.232624,-0.625686,25.397331,7.883454,0.646945,-0.001280,-0.021383,0.000000,-0.023750,-0.183152,0.000000
0.080000,-3.340673,-0.299589,-1.476413,0.013636,-0.004272,-0.021423,0.227943,-0.014431,0.047010,2.040551,-0.162535,-0.624411,22.551151,6.284521,-0.279646,-0.001478,-0.023343,0.000000,-0.016542,-0.207402,-0.000000
0.090000,-3.340525,-0.299633,-1.476625,0.016018,-0.004425,-0.020984,0.249474,-0.015746,0.040749,2.252193,-0.106933,-0.631279,19.848748,4.973487,-0.991241,-0.001611,-0.025531,0.000000,-0.010829,-0.228739,0.000000
