time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,qw,qx,qy,qz,wx,wy,wz
0.000000,0.004063,-2.996784,0.501885,-0.001937,-0.001647,0.024252,-0.017004,0.186142,-0.073881,0.175910,-1.392653,0.106644,-1.434752,16.527910,3.374817,0.999949,0.008168,-0.002531,0.005357,-0.007676,0.008876,-0.009317
0.010000,0.004043,-2.996792,0.502123,-0.002099,0.000148,0.023519,-0.015315,0.173031,-0.072648,0.162074,-1.230622,0.139763,-1.333442,15.882120,3.249228,0.999950,0.008128,-0.002501,0.005320,-0.007973,0.006130,-0.007574
0.020000,0.004021,-2.996782,0.502355,-0.002244,0.001819,0.022800,-0.013760,0.161509,-0.071090,0.149221,-1.074936,0.171636,-1.237977,15.258879,3.125721,0.999950,0.008088,-0.002470,0.005283,-0.008150,0.004356,-0.006426
0.030000,0.003998,-2.996756,0.502579,-0.002375,0.003383,0.022099,-0.012328,0.151512,-0.069220,0.137295,-0.925372,0.202284,-1.148156,14.657542,3.004266,0.999951,0.008048,-0.002440,0.005246,-0.008242,0.003268,-0.005701
0.040000,0.003974,-2.996715,0.502797,-0.002491,0.004854,0.021417,-0.011011,0.142981,-0.067049,0.126240,-0.781714,0.231728,-1.063777,14.077382,2.884827,0.999951,0.008008,-0.002413,0.005210,-0.008276,0.002648,-0.005267
0.050000,0.003948,-2.996659,0.503008,-0.002595,0.006247,0.020759,-0.009800,0.135859,-0.064589,0.116002,-0.643748,0.259988,-0.984639,13.518512,2.767475,0.999952,0.007968,-0.002390,0.005178,-0.008273,0.002332,-0.005025
0.060000,0.003922,-2.996590,0.503212,-0.002687,0.007576,0.020126,-0.008688,0.130088,-0.061853,0.106530,-0.511275,0.287084,-0.910538,12.979475,2.652067,0.999953,0.007927,-0.002373,0.005150,-0.008247,0.002200,-0.004903
0.070000,0.003895,-2.996508,0.503410,-0.002769,0.008853,0.019522,-0.007667,0.125616,-0.058851,0.097775,-0.384094,0.313036,-0.841274,12.459970,2.538625,0.999953,0.007886,-0.002361,0.005125,-0.008208,0.002171,-0.004849
0.080000,0.003866,-2.996413,0.503603,-0.002841,0.010092,0.018950,-0.006731,0.122389,-0.055596,0.089690,-0.262012,0.337863,-0.776644,11.959369,2.427132,0.999953,0.007845,-0.002352,0.005101,-0.008164,0.002188,-0.004829
0.090000,0.003838,-2.996306,0.503790,-0.002904,0.011305,0.018411,-0.005872,0.120359,-0.052098,0.082228,-0.144846,0.361585,-0.716448,11.476976,2.317581,0.999954,0.007804,-0.002343,0.005079,-0.008118,0.002219,-0.004822
0.100000,0.003808,-2.996187,0.503971,-0.002959,0.012503,0.017909,-0.005084,0.119477,-0.048368,0.075346,-0.032410,0.384220,-0.660483,11.012663,2.209827,0.999954,0.007764,-0.002333,0.005055,-0.008073,0.002243,-0.004814
0.110000,0.003779,-2.996056,0.504148,-0.003006,0.013698,0.017445,-0.004363,0.119696,-0.044417,0.069005,0.075466,0.405788,-0.608547,10.565272,2.103994,0.999955,0.007723,-0.002322,0.005031,-0.008030,0.002253,-0.004801
0.120000,0.003748,-2.995913,0.504320,-0.003046,0.014901,0.017021,-0.003702,0.120971,-0.040255,0.063163,0.178951,0.426306,-0.560438,10.134401,2.000003,0.999955,0.007683,-0.002311,0.005007,-0.007990,0.002249,-0.004780
0.130000,0.003718,-2.995758,0.504488,-0.003080,0.016121,0.016640,-0.003098,0.123261,-0.035894,0.057784,0.278207,0.445794,-0.515955,9.719430,1.897834,0.999956,0.007644,-0.002300,0.004983,-0.007950,0.002234,-0.004754
0.140000,0.003687,-2.995590,0.504653,-0.003108,0.017369,0.016304,-0.002545,0.126522,-0.031343,0.052832,0.373390,0.464269,-0.474896,9.319712,1.797468,0.999956,0.007604,-0.002289,0.004960,-0.007912,0.002213,-0.004725
0.150000,0.003656,-2.995410,0.504815,-0.003131,0.018655,0.016014,-0.002040,0.130715,-0.026612,0.048275,0.464650,0.481749,-0.437059,8.934556,1.698899,0.999957,0.007564,-0.002278,0.004936,-0.007874,0.002190,-0.004695
0.160000,0.003624,-2.995217,0.504974,-0.003149,0.019986,0.015772,-0.001579,0.135802,-0.021711,0.044081,0.552134,0.498252,-0.402243,8.563966,1.601979,0.999957,0.007525,-0.002267,0.004913,-0.007836,0.002169,-0.004666
0.170000,0.003593,-2.995010,0.505130,-0.003163,0.021373,0.015580,-0.001157,0.141746,-0.016650,0.040221,0.635976,0.513794,-0.370245,8.206614,1.506838,0.999957,0.007486,-0.002256,0.004889,-0.007798,0.002154,-0.004641
0.180000,0.003561,-2.994789,0.505285,-0.003173,0.022824,0.015440,-0.000773,0.148510,-0.011438,0.036667,0.716309,0.528394,-0.340864,7.862187,1.413401,0.999958,0.007447,-0.002245,0.004866,-0.007759,0.002145,-0.004618
0.190000,0.003529,-2.994554,0.505439,-0.003179,0.024346,0.015352,-0.000423,0.156061,-0.006085,0.033395,0.793261,0.542068,-0.313897,7.530167,1.321663,0.999958,0.007408,-0.002234,0.004843,-0.007720,0.002140,-0.004599
0.200000,0.003497,-2.994302,0.505593,-0.003181,0.025948,0.015318,-0.000104,0.164364,-0.000600,0.030382,0.866947,0.554832,-0.289144,7.209443,1.231493,0.999959,0.007370,-0.002224,0.004820,-0.007680,0.002138,-0.004581
0.210000,0.003466,-2.994034,0.505746,-0.003181,0.027636,0.015340,0.000186,0.173388,0.005008,0.027678,0.937334,0.566693,-0.264981,6.897034,1.142794,0.999959,0.007332,-0.002213,0.004797,-0.007642,0.002128,-0.004558
0.220000,0.003434,-2.993749,0.505900,-0.003178,0.029418,0.015419,0.000449,0.183103,0.010731,0.024957,1.005173,0.577710,-0.266892,6.646023,1.059080,0.999960,0.007294,-0.002202,0.004775,-0.007604,0.002118,-0.004535
0.230000,0.003402,-2.993446,0.506054,-0.003172,0.031300,0.015555,0.000686,0.193481,0.016559,0.022598,1.069735,0.587843,-0.204832,6.267232,0.967796,0.999960,0.007256,-0.002192,0.004752,-0.007566,0.002107,-0.004513
0.240000,0.003370,-2.993123,0.506211,-0.003164,0.033290,0.015751,0.000902,0.204487,0.022485,0.020601,1.131083,0.597106,-0.207474,6.030596,0.886903,0.999960,0.007218,-0.002181,0.004729,-0.007529,0.002097,-0.004491
0.250000,0.003339,-2.992780,0.506370,-0.003154,0.035392,0.016005,0.001098,0.216095,0.028499,0.018551,1.190151,0.605571,-0.190082,5.757994,0.804548,0.999961,0.007180,-0.002171,0.004707,-0.007491,0.002087,-0.004469
0.260000,0.003307,-2.992415,0.506531,-0.003142,0.037613,0.016321,0.001274,0.228280,0.034593,0.016777,1.246300,0.613206,-0.173860,5.493625,0.723760,0.999961,0.007143,-0.002160,0.004685,-0.007454,0.002077,-0.004447
0.270000,0.003276,-2.992027,0.506696,-0.003128,0.039959,0.016697,0.001433,0.241014,0.040760,0.014988,1.300240,0.620060,-0.175557,5.275936,0.646391,0.999962,0.007106,-0.002150,0.004663,-0.007417,0.002067,-0.004425
0.280000,0.003245,-2.991615,0.506865,-0.003113,0.042435,0.017136,0.001575,0.254275,0.046992,0.013444,1.351429,0.626118,-0.133176,4.962497,0.565436,0.999962,0.007069,-0.002140,0.004640,-0.007380,0.002058,-0.004403
0.290000,0.003214,-2.991178,0.507039,-0.003097,0.045047,0.017638,0.001703,0.268034,0.053280,0.012146,1.399918,0.631394,-0.135327,4.756711,0.490849,0.999962,0.007032,-0.002130,0.004619,-0.007344,0.002048,-0.004382
