time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,omega_dot_x,omega_dot_y,omega_dot_z,mu
0.000000,-0.190948,-0.080136,0.978324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.641583
0.010000,-0.190948,-0.080133,0.978324,-0.000004,0.000002,-0.000001,-0.001211,0.000351,-0.000537,0.641636
0.020000,-0.190948,-0.080131,0.978324,-0.000048,0.000010,-0.000020,-0.007947,0.001356,-0.003308,0.641597
0.030000,-0.190947,-0.080129,0.978324,-0.000183,0.000030,-0.000076,-0.019431,0.003013,-0.008024,0.641509
0.040000,-0.190947,-0.080126,0.978325,-0.000454,0.000070,-0.000188,-0.034955,0.005305,-0.014426,0.641402
0.050000,-0.190947,-0.080124,0.978325,-0.000898,0.000137,-0.000371,-0.053874,0.008206,-0.022278,0.641302
0.060000,-0.190943,-0.080090,0.978328,-0.001545,0.000235,-0.000639,-0.075604,0.011678,-0.031370,0.641224
0.070000,-0.190939,-0.080056,0.978332,-0.002421,0.000371,-0.001004,-0.099618,0.015682,-0.041512,0.641178
0.080000,-0.190935,-0.080022,0.978335,-0.003547,0.000550,-0.001474,-0.125439,0.020169,-0.052535,0.641169
0.090000,-0.190932,-0.079988,0.978339,-0.004937,0.000776,-0.002058,-0.152637,0.025092,-0.064285,0.641201
0.100000,-0.190928,-0.079953,0.978342,-0.006605,0.001054,-0.002762,-0.180827,0.030398,-0.076626,0.641272
0.110000,-0.190915,-0.079847,0.978354,-0.008559,0.001386,-0.003593,-0.209664,0.036038,-0.089437,0.641380
0.120000,-0.190905,-0.079765,0.978362,-0.010802,0.001776,-0.004553,-0.238839,0.041960,-0.102609,0.641521
0.130000,-0.190894,-0.079671,0.978372,-0.013338,0.002226,-0.005646,-0.268077,0.048115,-0.116044,0.641693
0.140000,-0.190877,-0.079528,0.978387,-0.016165,0.002739,-0.006875,-0.297135,0.054455,-0.129656,0.641889
0.150000,-0.190848,-0.079300,0.978411,-0.019281,0.003316,-0.008240,-0.325797,0.060936,-0.143368,0.642107
0.160000,-0.190824,-0.079113,0.978431,-0.022681,0.003958,-0.009743,-0.353873,0.067513,-0.157112,0.642342
0.170000,-0.190791,-0.078861,0.978458,-0.026357,0.004666,-0.011383,-0.381196,0.074146,-0.170827,0.642591
0.180000,-0.190750,-0.078550,0.978491,-0.030303,0.005441,-0.013160,-0.407619,0.080797,-0.184458,0.642851
0.190000,-0.190702,-0.078189,0.978529,-0.034507,0.006282,-0.015072,-0.433016,0.087431,-0.197959,0.643120
0.200000,-0.190646,-0.077784,0.978572,-0.038960,0.007190,-0.017119,-0.457277,0.094014,-0.211287,0.643395
0.210000,-0.190584,-0.077339,0.978620,-0.043650,0.008162,-0.019298,-0.480306,0.100516,-0.224406,0.643677
0.220000,-0.190516,-0.076851,0.978671,-0.048563,0.009200,-0.021606,-0.502024,0.106906,-0.237282,0.643964
0.230000,-0.190439,-0.076312,0.978729,-0.053686,0.010300,-0.024043,-0.522360,0.113156,-0.249889,0.644253
