time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-3.021724,0.820887,-1.319412,-0.004518,0.002326,-0.002258,0.252144,-0.050678,0.234597,-0.391903,0.529387,-7.708768,35.640962,-5.874684,177.946101,-0.005291,-0.026326,0.000000,0.059516,0.062083,0.000000
0.010000,-3.021757,0.820908,-1.319424,-0.002010,0.001845,-0.000269,0.249968,-0.045670,0.165923,-0.047429,0.472889,-6.073217,33.247190,-5.430230,149.672014,-0.004734,-0.025913,0.000000,0.051995,0.021226,0.000000
0.020000,-3.021765,0.820924,-1.319419,0.000493,0.001411,0.001110,0.251115,-0.041206,0.112240,0.272927,0.420677,-4.705429,30.819261,-5.017260,124.367548,-0.004248,-0.025888,0.000000,0.045426,-0.015569,-0.000000
0.030000,-3.021747,0.820936,-1.319403,0.003023,0.001019,0.002017,0.255345,-0.037244,0.071018,0.568877,0.372444,-3.576488,28.367705,-4.634221,101.876376,-0.003823,-0.026213,0.000000,0.039638,-0.048750,-0.000000
0.040000,-3.021704,0.820945,-1.319380,0.005609,0.000665,0.002565,0.262411,-0.033745,0.040006,0.840238,0.327899,-2.659045,25.903070,-4.279549,82.042174,-0.003453,-0.026852,0.000000,0.034496,-0.078635,0.000000
0.050000,-3.021635,0.820950,-1.319353,0.008279,0.000343,0.002845,0.272067,-0.030674,0.017218,1.086926,0.286764,-1.927308,23.435457,-3.951740,64.708720,-0.003131,-0.027775,0.000000,0.029897,-0.105443,-0.000000
0.060000,-3.021538,0.820952,-1.319324,0.011058,0.000050,0.002931,0.284067,-0.027999,0.000921,1.308971,0.248779,-1.357055,20.975879,-3.649202,49.719571,-0.002853,-0.028952,0.000000,0.025757,-0.129329,0.000000
0.070000,-3.021413,0.820951,-1.319295,0.013968,-0.000218,0.002880,0.298165,-0.025689,-0.010385,1.506504,0.213701,-0.925624,18.534641,-3.370400,36.918453,-0.002615,-0.030353,0.000000,0.022009,-0.150405,-0.000000
0.080000,-3.021258,0.820947,-1.319266,0.017028,-0.000465,0.002735,0.314116,-0.023716,-0.017983,1.679760,0.181297,-0.611914,16.122232,-3.113782,26.149033,-0.002412,-0.031951,0.000000,0.018601,-0.168753,-0.000000
0.090000,-3.021072,0.820941,-1.319240,0.020255,-0.000694,0.002529,0.331680,-0.022055,-0.022951,1.829080,0.151356,-0.396392,13.749173,-2.877791,17.254943,-0.002242,-0.033719,0.000000,0.015488,-0.184445,-0.000000
0.100000,-3.020852,0.820933,-1.319216,0.023666,-0.000907,0.002282,0.350620,-0.020681,-0.026178,1.954912,0.123678,-0.261082,11.426075,-2.660911,10.080146,-0.002101,-0.035631,0.000000,0.012636,-0.197549,-0.000000
0.110000,-3.020598,0.820923,-1.319195,0.027272,-0.001108,0.002009,0.370702,-0.019574,-0.028385,2.057804,0.098079,-0.189579,9.163263,-2.461557,4.467994,-0.001988,-0.037661,0.000000,0.010016,-0.208139,0.000000
0.120000,-3.020306,0.820911,-1.319176,0.031083,-0.001299,0.001716,0.391701,-0.018714,-0.030133,2.138413,0.074393,-0.167034,6.971282,-2.278192,0.262293,-0.001900,-0.039786,0.000000,0.007603,-0.216297,0.000000
0.130000,-3.019976,0.820897,-1.319160,0.035108,-0.001483,0.001406,0.413399,-0.018081,-0.031844,2.197500,0.052467,-0.180166,4.860533,-2.109265,-2.693268,-0.001835,-0.041979,0.000000,0.005377,-0.222120,0.000000
0.140000,-3.019603,0.820882,-1.319148,0.039353,-0.001662,0.001078,0.435582,-0.017659,-0.033816,2.235929,0.032165,-0.217254,2.841301,-1.953228,-4.554984,-0.001792,-0.044221,0.000000,0.003322,-0.225722,0.000000
0.150000,-3.019188,0.820864,-1.319139,0.043821,-0.001837,0.000728,0.458051,-0.017432,-0.036235,2.254665,0.013365,-0.268140,0.923703,-1.808535,-5.479138,-0.001769,-0.046487,0.000000,0.001423,-0.227229,0.000000
0.160000,-3.018726,0.820845,-1.319133,0.048514,-0.002011,0.000352,0.480614,-0.017387,-0.039196,2.254824,-0.004038,-0.324236,-0.877792,-1.673629,-5.622410,-0.001763,-0.048759,0.000000,-0.000332,-0.226788,0.000000
0.170000,-3.018217,0.820824,-1.319132,0.053433,-0.002185,-0.000057,0.503090,-0.017509,-0.042714,2.237538,-0.020135,-0.378507,-2.557879,-1.546967,-5.140643,-0.001775,-0.051017,0.000000,-0.001952,-0.224551,-0.000000
0.180000,-3.017657,0.820801,-1.319135,0.058575,-0.002362,-0.000504,0.525311,-0.017785,-0.046742,2.204113,-0.035000,-0.425488,-4.104024,-1.426995,-4.190344,-0.001802,-0.053244,0.000000,-0.003447,-0.220687,0.000000
0.190000,-3.017044,0.820777,-1.319142,0.063937,-0.002542,-0.000994,0.547123,-0.018205,-0.051186,2.155940,-0.048692,-0.461274,-5.505575,-1.312157,-2.927866,-0.001843,-0.055426,0.000000,-0.004822,-0.215370,0.000000
0.200000,-3.016377,0.820750,-1.319155,0.069515,-0.002726,-0.001529,0.568386,-0.018755,-0.055922,2.094510,-0.061255,-0.483524,-6.752871,-1.200941,-1.509368,-0.001898,-0.057547,0.000000,-0.006083,-0.208781,0.000000
0.210000,-3.015653,0.820722,-1.319173,0.075303,-0.002917,-0.002114,0.589082,-0.019422,-0.061518,2.046062,-0.071769,-0.653760,-7.347532,-1.073008,-3.299558,-0.001964,-0.059604,0.000000,-0.007104,-0.202595,-0.000000
0.220000,-3.014871,0.820692,-1.319197,0.081294,-0.003115,-0.002759,0.608929,-0.020201,-0.066681,1.907253,-0.084292,-0.280591,-16.083650,-1.265808,49.557874,-0.002041,-0.061575,0.000000,-0.008436,-0.190630,0.000000
0.230000,-3.014027,0.820660,-1.319228,0.087477,-0.003322,-0.003435,0.627415,-0.021096,-0.068510,1.815276,-0.093607,-0.258418,-2.153880,-0.592043,-46.018351,-0.002131,-0.063428,0.000000,-0.009376,-0.181367,0.000000
0.240000,-3.013120,0.820626,-1.319266,0.093841,-0.003537,-0.004141,0.645449,-0.022060,-0.073376,1.777515,-0.099486,-0.627176,-9.724125,-0.751059,0.900817,-0.002227,-0.065214,0.000000,-0.009878,-0.174958,0.000000
0.250000,-3.012149,0.820589,-1.319311,0.100383,-0.003763,-0.004904,0.662617,-0.023095,-0.078846,1.658099,-0.107204,-0.483768,-9.807136,-0.625620,-0.775589,-0.002330,-0.066907,0.000000,-0.010677,-0.163660,0.000000
0.260000,-3.011112,0.820550,-1.319364,0.107090,-0.003999,-0.005716,0.678681,-0.024194,-0.083728,1.553660,-0.112438,-0.492517,-10.163644,-0.500833,-0.678850,-0.002440,-0.068490,0.000000,-0.011191,-0.152900,-0.000000
