time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.730092,-0.310610,-1.472911,-0.003649,0.001943,0.003716,0.157885,-0.005872,-0.039317,7.366896,-0.318426,-1.515800,-45.383595,2.979121,39.054354,-0.000596,-0.016029,0.000000,-0.032227,-0.745301,0.000000
0.010000,-2.730129,-0.310591,-1.472874,-0.002070,0.001884,0.003322,0.231554,-0.009056,-0.054475,6.913060,-0.288635,-1.125257,-245.328421,17.392800,91.022052,-0.000918,-0.023469,0.000000,-0.029132,-0.697741,0.000000
0.020000,-2.730134,-0.310572,-1.472844,0.000982,0.001762,0.002626,0.296146,-0.011644,-0.061822,2.460328,0.029430,0.304641,-409.568523,39.293514,113.488439,-0.001179,-0.029990,0.000000,0.002952,-0.249928,-0.000000
0.030000,-2.730109,-0.310556,-1.472821,0.003852,0.001652,0.002086,0.280760,-0.008467,-0.048382,-1.278310,0.497235,1.144512,-162.483552,39.536739,23.807310,-0.000859,-0.028472,0.000000,0.050315,0.126259,-0.000000
0.040000,-2.730057,-0.310539,-1.472803,0.006597,0.001593,0.001659,0.270580,-0.001700,-0.038932,-0.789343,0.820165,0.780787,45.886242,28.862467,-33.057434,-0.000173,-0.027466,0.000000,0.083229,0.077908,-0.000000
0.050000,-2.729977,-0.310524,-1.472788,0.009264,0.001618,0.001307,0.264974,0.007936,-0.032766,-0.360586,1.074485,0.483363,40.146990,22.357634,-26.832434,0.000806,-0.026914,0.000000,0.109166,0.035287,0.000000
0.060000,-2.729871,-0.310507,-1.472776,0.011896,0.001751,0.001003,0.263368,0.019790,-0.029264,0.013596,1.267317,0.244138,34.956149,16.545273,-21.392193,0.002011,-0.026761,0.000000,0.128805,-0.002045,-0.000000
0.070000,-2.729739,-0.310489,-1.472768,0.014531,0.002013,0.000722,0.265245,0.033282,-0.027883,0.338537,1.405390,0.055519,30.283934,11.385942,-16.685656,0.003382,-0.026955,0.000000,0.142817,-0.034538,-0.000000
0.080000,-2.729581,-0.310467,-1.472762,0.017201,0.002417,0.000446,0.270139,0.047898,-0.028154,0.619275,1.495036,-0.089575,26.100563,6.840194,-12.661784,0.004867,-0.027451,0.000000,0.151850,-0.062648,0.000000
0.090000,-2.729395,-0.310440,-1.472759,0.019934,0.002971,0.000159,0.277631,0.063183,-0.029675,0.860549,1.542194,-0.197716,22.376254,2.868588,-9.269513,0.006419,-0.028208,0.000000,0.156519,-0.086819,0.000000
0.100000,-2.729182,-0.310407,-1.472759,0.022754,0.003681,-0.000148,0.287350,0.078742,-0.032108,1.066800,1.552408,-0.274965,19.081230,-0.568317,-6.457775,0.007997,-0.029188,0.000000,0.157405,-0.107481,0.000000
0.110000,-2.728940,-0.310367,-1.472762,0.025681,0.004546,-0.000483,0.298967,0.094231,-0.035174,1.242173,1.530828,-0.326872,16.185702,-3.509968,-4.175534,0.009567,-0.030358,0.000000,0.155050,-0.125042,0.000000
0.120000,-2.728668,-0.310316,-1.472768,0.028733,0.005565,-0.000851,0.312193,0.109358,-0.038646,1.390514,1.482209,-0.358476,13.659877,-5.995810,-2.371736,0.011098,-0.031689,0.000000,0.149952,-0.139885,0.000000
0.130000,-2.728365,-0.310255,-1.472779,0.031925,0.006733,-0.001256,0.326777,0.123875,-0.042344,1.515371,1.410911,-0.374307,11.473979,-8.065284,-0.995314,0.012566,-0.033155,0.000000,0.142564,-0.152368,-0.000000
0.140000,-2.728030,-0.310182,-1.472794,0.035269,0.008043,-0.001698,0.342501,0.137576,-0.046132,1.619994,1.320903,-0.378382,9.598248,-9.757825,0.004766,0.013949,-0.034736,0.000000,0.133297,-0.162818,0.000000
0.150000,-2.727660,-0.310095,-1.472813,0.038775,0.009485,-0.002179,0.359177,0.150293,-0.049911,1.707336,1.215755,-0.374211,8.002878,-11.112884,0.679568,0.015232,-0.036412,0.000000,0.122519,-0.171529,0.000000
0.160000,-2.727254,-0.309992,-1.472837,0.042452,0.011049,-0.002697,0.376648,0.161891,-0.053616,1.780051,1.098645,-0.364791,6.658057,-12.169916,1.080168,0.016400,-0.038167,0.000000,0.110554,-0.178769,0.000000
0.170000,-2.726811,-0.309874,-1.472867,0.046308,0.012723,-0.003251,0.394778,0.172266,-0.057207,1.840497,0.972357,-0.352608,5.530736,-12.973170,1.265371,0.017443,-0.039988,0.000000,0.097683,-0.184773,-0.000000
0.180000,-2.726328,-0.309738,-1.472902,0.050348,0.014494,-0.003841,0.413457,0.181339,-0.060668,1.890666,0.839182,-0.339483,4.533492,-13.646283,1.422101,0.018353,-0.041863,0.000000,0.084138,-0.189738,0.000000
0.190000,-2.725804,-0.309584,-1.472944,0.054577,0.016349,-0.004464,0.432591,0.189050,-0.063997,1.931167,0.699431,-0.324166,3.656444,-14.199594,1.554443,0.019126,-0.043783,0.000000,0.069952,-0.193735,0.000000
0.200000,-2.725237,-0.309411,-1.472991,0.059000,0.018275,-0.005121,0.452081,0.195327,-0.067152,1.963795,0.555190,-0.308395,3.295318,-14.051223,0.710823,0.019752,-0.045738,0.000000,0.055334,-0.196942,0.000000
