time,k0_0,k0_1,k0_2,k0_3,k0_4,k0_5,k0_6,k0_7,k0_8,k0_9,k0_10,k0_11,k0_12,k1_0,k1_1,k1_2,k1_3,k1_4,k1_5,k1_6,k1_7,k1_8,k1_9,k1_10,k1_11,k1_12,k2_0,k2_1,k2_2,k2_3,k2_4,k2_5,k2_6,k2_7,k2_8,k2_9,k2_10,k2_11,k2_12,k3_0,k3_1,k3_2,k3_3,k3_4,k3_5,k3_6,k3_7,k3_8,k3_9,k3_10,k3_11,k3_12,k4_0,k4_1,k4_2,k4_3,k4_4,k4_5,k4_6,k4_7,k4_8,k4_9,k4_10,k4_11,k4_12,k5_0,k5_1,k5_2,k5_3,k5_4,k5_5,k5_6,k5_7,k5_8,k5_9,k5_10,k5_11,k5_12
0.000000,-1.463683,0.000000,0.000000,-1.859181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.320154,0.000000,0.000000,-1.709525,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.868170,0.000000,0.000000,-1.230679,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000132,-0.076307,-0.000304,-0.000357,-0.077988,-0.000001,-0.000018,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000309,0.000284,-0.067602,0.000114,0.000001,-0.072462,-0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000584,0.000680,-0.000219,-0.138348,0.000001,-0.000001,-0.147666
0.010000,-1.463680,0.000000,0.000000,-1.859180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.320150,0.000000,0.000000,-1.709524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.868168,0.000000,0.000000,-1.230678,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000130,-0.076297,-0.000299,-0.000353,-0.077987,-0.000004,-0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000315,0.000280,-0.067591,0.000114,0.000004,-0.072462,-0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000584,0.000665,-0.000222,-0.138327,0.000001,-0.000000,-0.147666
0.020000,-1.463676,0.000000,0.000000,-1.859179,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.320147,0.000000,0.000000,-1.709522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.868166,0.000000,0.000000,-1.230677,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000128,-0.076287,-0.000296,-0.000350,-0.077987,-0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000318,0.000277,-0.067581,0.000114,0.000005,-0.072462,-0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000584,0.000654,-0.000223,-0.138306,0.000000,-0.000000,-0.147666
0.030000,-1.463672,0.000000,0.000000,-1.859178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.320143,0.000000,0.000000,-1.709521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.868164,0.000000,0.000000,-1.230675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000127,-0.076277,-0.000293,-0.000348,-0.077987,-0.000006,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000320,0.000275,-0.067570,0.000113,0.000006,-0.072462,-0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000582,0.000646,-0.000223,-0.138285,-0.000000,-0.000000,-0.147665
0.040000,-1.463668,0.000000,0.000000,-1.859177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.320140,0.000000,0.000000,-1.709520,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.868162,0.000000,0.000000,-1.230674,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000126,-0.076267,-0.000291,-0.000346,-0.077987,-0.000007,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000320,0.000273,-0.067559,0.000113,0.000007,-0.072462,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000580,0.000640,-0.000223,-0.138264,-0.000000,-0.000000,-0.147665
0.050000,-1.463664,0.000000,0.000000,-1.859176,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-1.320136,0.000000,0.000000,-1.709519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.868160,0.000000,0.000000,-1.230673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000125,-0.076257,-0.000290,-0.000344,-0.077987,-0.000007,0.000009,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000319,0.000271,-0.067548,0.000112,0.000007,-0.072462,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000578,0.000636,-0.000222,-0.138242,-0.000001,-0.000000,-0.147665
0.060000,-1.463660,0.000000,0.000000,-1.859175,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.320133,0.000000,0.000000,-1.709518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.868157,0.000000,0.000000,-1.230672,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000124,-0.076247,-0.000288,-0.000342,-0.077987,-0.000007,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000318,0.000270,-0.067537,0.000112,0.000007,-0.072461,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000575,0.000632,-0.000221,-0.138220,-0.000001,-0.000000,-0.147665
0.070000,-1.463656,0.000000,0.000000,-1.859174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.320129,0.000000,0.000000,-1.709517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.868155,0.000000,0.000000,-1.230670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000124,-0.076236,-0.000287,-0.000340,-0.077987,-0.000007,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000316,0.000269,-0.067526,0.000111,0.000007,-0.072461,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000572,0.000629,-0.000220,-0.138198,-0.000001,-0.000000,-0.147664
0.080000,-1.463651,0.000000,0.000000,-1.859172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.320125,0.000000,0.000000,-1.709516,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.868153,0.000000,0.000000,-1.230669,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000123,-0.076226,-0.000285,-0.000339,-0.077986,-0.000007,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000314,0.000267,-0.067515,0.000111,0.000007,-0.072461,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000569,0.000626,-0.000219,-0.138175,-0.000001,-0.000000,-0.147664
0.090000,-1.463647,0.000000,0.000000,-1.859171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.320121,0.000000,0.000000,-1.709514,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.868150,0.000000,0.000000,-1.230668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000123,-0.076215,-0.000284,-0.000337,-0.077986,-0.000007,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000313,0.000266,-0.067504,0.000110,0.000007,-0.072461,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000567,0.000623,-0.000218,-0.138153,-0.000001,-0.000000,-0.147664
