time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,qw,qx,qy,qz,wx,wy,wz
0.000000,0.002736,-3.016167,0.497658,0.002327,-0.005075,-0.002965,-0.047591,0.314316,0.019568,0.426504,-2.185024,-0.123707,-3.404079,20.772745,3.869835,0.999979,-0.001790,-0.004579,0.004242,0.006408,-0.016037,0.000690
0.010000,0.002757,-3.016203,0.497629,0.001872,-0.002038,-0.002775,-0.043492,0.293490,0.018523,0.393655,-1.981591,-0.085681,-3.167909,19.919040,3.735650,0.999979,-0.001769,-0.004612,0.004235,0.004338,-0.007382,-0.001228
0.020000,0.002774,-3.016209,0.497602,0.001456,0.000801,-0.002594,-0.039710,0.274656,0.017850,0.363102,-1.786538,-0.048987,-2.945016,19.096781,3.603566,0.999979,-0.001747,-0.004649,0.004229,0.003001,-0.001809,-0.002476
0.030000,0.002786,-3.016187,0.497577,0.001077,0.003462,-0.002417,-0.036223,0.257733,0.017539,0.334712,-1.599554,-0.013603,-2.734956,18.305069,3.473558,0.999979,-0.001725,-0.004684,0.004222,0.002180,0.001586,-0.003246
0.040000,0.002795,-3.016140,0.497554,0.000731,0.005962,-0.002242,-0.033009,0.242639,0.017574,0.308361,-1.420338,0.020491,-2.537285,17.542885,3.345584,0.999979,-0.001706,-0.004711,0.004214,0.001712,0.003497,-0.003688
0.050000,0.002801,-3.016068,0.497532,0.000416,0.008320,-0.002064,-0.030049,0.229301,0.017944,0.283927,-1.248593,0.053317,-2.351559,16.810195,3.219739,0.999979,-0.001690,-0.004723,0.004202,0.001473,0.004445,-0.003914
0.060000,0.002804,-3.015974,0.497512,0.000129,0.010554,-0.001882,-0.027324,0.217644,0.018636,0.261292,-1.084039,0.084893,-2.177334,16.105223,3.095880,0.999979,-0.001679,-0.004717,0.004186,0.001374,0.004805,-0.004005
0.070000,0.002804,-3.015858,0.497495,-0.000131,0.012679,-0.001691,-0.024818,0.207597,0.019638,0.240343,-0.926398,0.115241,-2.014166,15.427462,2.974034,0.999979,-0.001671,-0.004697,0.004167,0.001352,0.004842,-0.004019
0.080000,0.002801,-3.015721,0.497479,-0.000368,0.014711,-0.001488,-0.022512,0.199094,0.020937,0.220973,-0.775402,0.144380,-1.861610,14.776117,2.854192,0.999979,-0.001666,-0.004669,0.004146,0.001364,0.004730,-0.003995
0.090000,0.002796,-3.015564,0.497465,-0.000582,0.016665,-0.001271,-0.020393,0.192068,0.022522,0.203077,-0.630790,0.172331,-1.719223,14.150481,2.736355,0.999979,-0.001660,-0.004638,0.004125,0.001387,0.004578,-0.003957
0.100000,0.002790,-3.015388,0.497453,-0.000776,0.018557,-0.001037,-0.018446,0.186457,0.024380,0.186556,-0.492319,0.199113,-1.586560,13.548735,2.620383,0.999980,-0.001654,-0.004612,0.004104,0.001405,0.004446,-0.003919
0.110000,0.002781,-3.015193,0.497444,-0.000952,0.020399,-0.000782,-0.016658,0.182202,0.026500,0.171315,-0.359739,0.224745,-1.463177,12.971207,2.506406,0.999980,-0.001647,-0.004590,0.004085,0.001412,0.004357,-0.003888
0.120000,0.002771,-3.014980,0.497438,-0.001110,0.022205,-0.000506,-0.015016,0.179244,0.028871,0.157263,-0.232819,0.249247,-1.348631,12.416603,2.394350,0.999980,-0.001640,-0.004568,0.004065,0.001409,0.004314,-0.003866
0.130000,0.002759,-3.014749,0.497434,-0.001252,0.023988,-0.000204,-0.013509,0.177527,0.031481,0.144314,-0.111334,0.272639,-1.242476,11.884057,2.284201,0.999980,-0.001633,-0.004546,0.004046,0.001397,0.004307,-0.003850
0.140000,0.002746,-3.014500,0.497434,-0.001381,0.025760,0.000125,-0.012126,0.176999,0.034320,0.132387,0.004933,0.294938,-1.144270,11.372668,2.175941,0.999980,-0.001627,-0.004524,0.004027,0.001380,0.004321,-0.003837
0.150000,0.002731,-3.014233,0.497437,-0.001495,0.027532,0.000483,-0.010858,0.177609,0.037376,0.121404,0.116187,0.316164,-1.053567,10.881449,2.069548,0.999981,-0.001620,-0.004502,0.004008,0.001362,0.004340,-0.003826
0.160000,0.002716,-3.013949,0.497443,-0.001598,0.029316,0.000873,-0.009695,0.179307,0.040640,0.111292,0.222638,0.336335,-0.969924,10.410579,1.965008,0.999981,-0.001613,-0.004481,0.003988,0.001346,0.004351,-0.003814
0.170000,0.002699,-3.013647,0.497454,-0.001690,0.031121,0.001296,-0.008629,0.182047,0.044100,0.101983,0.324465,0.355470,-0.892896,9.957894,1.862305,0.999981,-0.001606,-0.004459,0.003969,0.001334,0.004345,-0.003798
