time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,omega_dot_x,omega_dot_y,omega_dot_z,mu
0.000000,-0.124919,0.056747,0.990543,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.011754
0.010000,-0.124918,0.056750,0.990543,0.000001,0.000001,-0.000000,-0.000611,0.000574,-0.000339,1.011778
0.020000,-0.124917,0.056752,0.990543,-0.000038,0.000024,-0.000016,-0.007121,0.004069,-0.002911,1.011909
0.030000,-0.124916,0.056754,0.990543,-0.000168,0.000094,-0.000068,-0.018412,0.010046,-0.007341,1.012133
0.040000,-0.124914,0.056756,0.990543,-0.000431,0.000235,-0.000172,-0.033522,0.018106,-0.013308,1.012436
0.050000,-0.124913,0.056759,0.990543,-0.000860,0.000465,-0.000342,-0.051620,0.027894,-0.020530,1.012808
0.060000,-0.124896,0.056790,0.990543,-0.001481,0.000800,-0.000589,-0.071995,0.039089,-0.028768,1.013238
0.070000,-0.124879,0.056822,0.990544,-0.002313,0.001253,-0.000923,-0.094040,0.051404,-0.037812,1.013718
0.080000,-0.124862,0.056854,0.990544,-0.003371,0.001833,-0.001349,-0.117239,0.064580,-0.047486,1.014241
0.090000,-0.124845,0.056886,0.990544,-0.004664,0.002548,-0.001875,-0.141156,0.078388,-0.057637,1.014799
0.100000,-0.124827,0.056917,0.990545,-0.006198,0.003403,-0.002504,-0.165423,0.092623,-0.068135,1.015387
0.110000,-0.124774,0.057014,0.990546,-0.007975,0.004402,-0.003239,-0.189730,0.107100,-0.078869,1.016000
0.120000,-0.124733,0.057090,0.990547,-0.009994,0.005547,-0.004083,-0.213818,0.121658,-0.089746,1.016635
0.130000,-0.124685,0.057177,0.990548,-0.012252,0.006836,-0.005035,-0.237474,0.136151,-0.100685,1.017288
0.140000,-0.124614,0.057305,0.990549,-0.014744,0.008270,-0.006097,-0.260518,0.150450,-0.111618,1.017955
0.150000,-0.124501,0.057508,0.990552,-0.017462,0.009845,-0.007268,-0.282803,0.164443,-0.122489,1.018635
0.160000,-0.124408,0.057673,0.990554,-0.020399,0.011558,-0.008547,-0.304210,0.178027,-0.133248,1.019326
0.170000,-0.124283,0.057895,0.990556,-0.023545,0.013405,-0.009933,-0.324641,0.191114,-0.143855,1.020027
0.180000,-0.124129,0.058168,0.990560,-0.026890,0.015379,-0.011424,-0.344016,0.203625,-0.154275,1.020736
0.190000,-0.123950,0.058484,0.990563,-0.030422,0.017476,-0.013018,-0.362274,0.215491,-0.164478,1.021452
0.200000,-0.123751,0.058833,0.990568,-0.034132,0.019687,-0.014713,-0.379367,0.226650,-0.174439,1.022175
0.210000,-0.123533,0.059213,0.990572,-0.038006,0.022007,-0.016506,-0.395253,0.237050,-0.184138,1.022905
0.220000,-0.123293,0.059630,0.990577,-0.042033,0.024426,-0.018395,-0.409912,0.246643,-0.193558,1.023640
0.230000,-0.123029,0.060088,0.990582,-0.046201,0.026937,-0.020377,-0.423330,0.255388,-0.202686,1.024381
0.240000,-0.122738,0.060591,0.990588,-0.050496,0.029531,-0.022448,-0.435497,0.263251,-0.211511,1.025128
0.250000,-0.122417,0.061144,0.990594,-0.054907,0.032199,-0.024606,-0.446414,0.270201,-0.220025,1.025881
0.260000,-0.122066,0.061744,0.990600,-0.059421,0.034932,-0.026848,-0.456083,0.276210,-0.228221,1.026638
0.270000,-0.121689,0.062389,0.990606,-0.064025,0.037721,-0.029169,-0.464515,0.281257,-0.236094,1.027401
0.280000,-0.121283,0.063082,0.990611,-0.068707,0.040555,-0.031568,-0.471723,0.285322,-0.243641,1.028169
0.290000,-0.120848,0.063825,0.990617,-0.073455,0.043424,-0.034041,-0.477724,0.288390,-0.250860,1.028943
0.300000,-0.120380,0.064619,0.990623,-0.078258,0.046319,-0.036585,-0.482539,0.290448,-0.257750,1.029720
0.310000,-0.119882,0.065465,0.990627,-0.083102,0.049230,-0.039195,-0.486189,0.291485,-0.264310,1.030503
0.320000,-0.119352,0.066361,0.990632,-0.087978,0.052146,-0.041870,-0.488700,0.291492,-0.270542,1.031290
0.330000,-0.118792,0.067308,0.990635,-0.092873,0.055056,-0.044605,-0.490096,0.290464,-0.276446,1.032081
0.340000,-0.118202,0.068306,0.990637,-0.097776,0.057951,-0.047398,-0.490407,0.288397,-0.282025,1.032876
0.350000,-0.117581,0.069356,0.990638,-0.102678,0.060821,-0.050244,-0.489661,0.285287,-0.287281,1.033675
0.360000,-0.116928,0.070458,0.990638,-0.107566,0.063654,-0.053142,-0.487887,0.281133,-0.292217,1.034477
0.370000,-0.116244,0.071612,0.990636,-0.112432,0.066440,-0.056088,-0.485115,0.275936,-0.296835,1.035282
0.380000,-0.115530,0.072818,0.990631,-0.117265,0.069169,-0.059078,-0.481376,0.269698,-0.301140,1.036089
0.390000,-0.114787,0.074073,0.990625,-0.122056,0.071831,-0.062110,-0.476702,0.262421,-0.305136,1.036899
0.400000,-0.114017,0.075377,0.990615,-0.126796,0.074414,-0.065180,-0.471124,0.254109,-0.308825,1.037710
0.410000,-0.113218,0.076731,0.990603,-0.131476,0.076909,-0.068285,-0.464674,0.244767,-0.312212,1.038522
0.420000,-0.112388,0.078136,0.990588,-0.136087,0.079306,-0.071423,-0.457382,0.234401,-0.315302,1.039335
0.430000,-0.111532,0.079590,0.990569,-0.140621,0.081594,-0.074590,-0.449281,0.223018,-0.318098,1.040148
0.440000,-0.110651,0.081090,0.990546,-0.145070,0.083763,-0.077784,-0.440402,0.210624,-0.320606,1.040960
0.450000,-0.109749,0.082634,0.990518,-0.149426,0.085803,-0.081001,-0.430776,0.197229,-0.322829,1.041772
0.460000,-0.108822,0.084224,0.990487,-0.153683,0.087705,-0.084240,-0.420433,0.182842,-0.324772,1.042582
0.470000,-0.107870,0.085861,0.990450,-0.157833,0.089457,-0.087496,-0.409406,0.167472,-0.326439,1.043390
0.480000,-0.106896,0.087542,0.990409,-0.161869,0.091051,-0.090767,-0.397723,0.151130,-0.327836,1.044195
0.490000,-0.105904,0.089264,0.990362,-0.165785,0.092476,-0.094052,-0.385415,0.133827,-0.328967,1.044997
0.500000,-0.104899,0.091023,0.990309,-0.169575,0.093724,-0.097346,-0.372511,0.115575,-0.329836,1.045796
0.510000,-0.103878,0.092821,0.990249,-0.173233,0.094785,-0.100647,-0.359040,0.096387,-0.330448,1.046590
0.520000,-0.102837,0.094661,0.990184,-0.176754,0.095649,-0.103954,-0.345031,0.076275,-0.330809,1.047380
0.530000,-0.101781,0.096539,0.990111,-0.180132,0.096307,-0.107263,-0.330512,0.055253,-0.330922,1.048164
0.540000,-0.100718,0.098451,0.990032,-0.183363,0.096751,-0.110572,-0.315510,0.033337,-0.330792,1.048942
0.550000,-0.099652,0.100390,0.989945,-0.186441,0.096971,-0.113878,-0.300053,0.010540,-0.330424,1.049714
0.560000,-0.098579,0.102362,0.989851,-0.189362,0.096959,-0.117179,-0.284168,-0.013121,-0.329824,1.050479
0.570000,-0.097494,0.104368,0.989749,-0.192123,0.096706,-0.120474,-0.267879,-0.037631,-0.328994,1.051236
0.580000,-0.096406,0.106404,0.989638,-0.194719,0.096204,-0.123758,-0.251213,-0.062972,-0.327941,1.051986
0.590000,-0.095321,0.108465,0.989520,-0.197146,0.095444,-0.127032,-0.234195,-0.089126,-0.326670,1.052727
0.600000,-0.094246,0.110545,0.989392,-0.199401,0.094419,-0.130291,-0.216849,-0.116076,-0.325184,1.053459
0.610000,-0.093176,0.112649,0.989257,-0.201482,0.093120,-0.133535,-0.199199,-0.143803,-0.323489,1.054182
0.620000,-0.092105,0.114778,0.989112,-0.203384,0.091540,-0.136760,-0.181268,-0.172286,-0.321589,1.054894
0.630000,-0.091043,0.116929,0.988958,-0.205106,0.089672,-0.139966,-0.163080,-0.201506,-0.319491,1.055597
0.640000,-0.089997,0.119095,0.988796,-0.206645,0.087508,-0.143149,-0.144655,-0.231442,-0.317198,1.056288
0.650000,-0.088976,0.121270,0.988624,-0.207999,0.085041,-0.146309,-0.126017,-0.262073,-0.314715,1.056968
0.660000,-0.087974,0.123460,0.988442,-0.209165,0.082264,-0.149443,-0.107186,-0.293375,-0.312049,1.057637
0.670000,-0.086984,0.125666,0.988252,-0.210142,0.079171,-0.152550,-0.088182,-0.325325,-0.309203,1.058293
0.680000,-0.086017,0.127884,0.988052,-0.210928,0.075755,-0.155627,-0.069026,-0.357901,-0.306183,1.058937
0.690000,-0.085081,0.130107,0.987843,-0.211522,0.072011,-0.158673,-0.049738,-0.391077,-0.302994,1.059568
0.700000,-0.084187,0.132330,0.987624,-0.211922,0.067932,-0.161686,-0.030335,-0.424827,-0.299643,1.060186
