time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-3.276073,0.308061,-1.492656,-0.019044,-0.003820,0.005734,0.954492,-0.322100,0.024306,-14.179454,5.984076,-0.956449,242.489423,-98.819755,16.355108,-0.032748,-0.097232,0.000000,0.606559,1.444012,0.000000
0.010000,-3.276218,0.308007,-1.492598,-0.010169,-0.006757,0.005931,0.824392,-0.267002,0.015505,-11.882785,5.055080,-0.809213,217.161875,-87.153329,13.155833,-0.027158,-0.083971,0.000000,0.513391,1.211134,-0.000000
0.020000,-3.276280,0.307927,-1.492538,-0.002484,-0.009189,0.006048,0.716023,-0.220627,0.008022,-9.829994,4.237612,-0.692095,193.701227,-76.506035,10.327817,-0.022445,-0.072919,0.000000,0.430897,1.002413,0.000000
0.030000,-3.276271,0.307825,-1.492477,0.004216,-0.011195,0.006095,0.627040,-0.181911,0.001574,-8.002786,3.521722,-0.601486,172.032736,-66.829900,7.850835,-0.018506,-0.063842,0.000000,0.358365,0.816353,0.000000
0.040000,-3.276198,0.307705,-1.492416,0.010114,-0.012849,0.006082,0.555274,-0.149885,-0.004085,-6.383614,2.897937,-0.533976,152.081719,-58.076956,5.704683,-0.015247,-0.056519,0.000000,0.295011,0.651372,-0.000000
0.050000,-3.276071,0.307569,-1.492356,0.015373,-0.014212,0.006015,0.498730,-0.123675,-0.009172,-4.955680,2.357266,-0.486360,133.772995,-50.199172,3.868856,-0.012578,-0.050748,0.000000,0.240020,0.505865,-0.000000
0.060000,-3.275893,0.307421,-1.492296,0.020134,-0.015339,0.005900,0.455577,-0.102491,-0.013869,-3.702929,1.891196,-0.455632,117.032281,-43.148641,2.323442,-0.010421,-0.046341,0.000000,0.192583,0.378249,0.000000
0.070000,-3.275669,0.307263,-1.492238,0.024523,-0.016277,0.005739,0.424139,-0.085629,-0.018331,-2.610058,1.491695,-0.438991,101.784627,-36.877362,1.048077,-0.008704,-0.043128,0.000000,0.151911,0.266985,-0.000000
0.080000,-3.275403,0.307096,-1.492182,0.028650,-0.017064,0.005534,0.402891,-0.072461,-0.022687,-1.662509,1.151211,-0.433838,87.955209,-31.337361,0.022518,-0.007363,-0.040952,0.000000,0.117249,0.170597,0.000000
0.090000,-3.275097,0.306922,-1.492127,0.032610,-0.017736,0.005285,0.390450,-0.062432,-0.027038,-0.846476,0.862671,-0.437775,75.469098,-26.480665,-0.773478,-0.006342,-0.039671,0.000000,0.087884,0.087676,0.000000
0.100000,-3.274751,0.306742,-1.492076,0.036485,-0.018322,0.004993,0.385567,-0.055056,-0.031465,-0.148889,0.619480,-0.448609,64.252524,-22.259272,-1.360111,-0.005590,-0.039158,0.000000,0.063147,0.016888,0.000000
