time,k0_0,k0_1,k0_2,k0_3,k0_4,k0_5,k0_6,k0_7,k0_8,k0_9,k0_10,k0_11,k0_12,k1_0,k1_1,k1_2,k1_3,k1_4,k1_5,k1_6,k1_7,k1_8,k1_9,k1_10,k1_11,k1_12,k2_0,k2_1,k2_2,k2_3,k2_4,k2_5,k2_6,k2_7,k2_8,k2_9,k2_10,k2_11,k2_12,k3_0,k3_1,k3_2,k3_3,k3_4,k3_5,k3_6,k3_7,k3_8,k3_9,k3_10,k3_11,k3_12,k4_0,k4_1,k4_2,k4_3,k4_4,k4_5,k4_6,k4_7,k4_8,k4_9,k4_10,k4_11,k4_12,k5_0,k5_1,k5_2,k5_3,k5_4,k5_5,k5_6,k5_7,k5_8,k5_9,k5_10,k5_11,k5_12
0.000000,-2.780989,0.000000,0.000000,-3.265927,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-2.711273,0.000000,0.000000,-3.196762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.952250,0.000000,0.000000,-1.369333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000264,-0.068288,0.000065,-0.000337,-0.066626,0.000007,-0.000015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000261,-0.000064,-0.049161,-0.000238,-0.000006,-0.060435,-0.000001,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000158,0.000514,0.000344,-0.117290,0.000001,-0.000001,-0.125709
0.010000,-2.780982,0.000000,0.000000,-3.265926,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.711266,0.000000,0.000000,-3.196761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.952247,0.000000,0.000000,-1.369332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000265,-0.068281,0.000067,-0.000334,-0.066626,0.000005,-0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000265,-0.000066,-0.049149,-0.000236,-0.000004,-0.060435,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000155,0.000503,0.000338,-0.117272,0.000000,-0.000001,-0.125708
0.020000,-2.780975,0.000000,0.000000,-3.265925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.711259,0.000000,0.000000,-3.196760,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.952245,0.000000,0.000000,-1.369330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000265,-0.068274,0.000068,-0.000332,-0.066626,0.000003,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000267,-0.000066,-0.049138,-0.000235,-0.000003,-0.060434,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000152,0.000495,0.000333,-0.117254,-0.000000,-0.000001,-0.125708
0.030000,-2.780968,0.000000,0.000000,-3.265924,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.711252,0.000000,0.000000,-3.196759,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.952242,0.000000,0.000000,-1.369329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000265,-0.068266,0.000068,-0.000330,-0.066626,0.000003,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000267,-0.000067,-0.049126,-0.000233,-0.000003,-0.060434,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000150,0.000489,0.000329,-0.117236,-0.000001,-0.000001,-0.125708
0.040000,-2.780961,0.000000,0.000000,-3.265923,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.711245,0.000000,0.000000,-3.196757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.952240,0.000000,0.000000,-1.369327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000264,-0.068259,0.000069,-0.000328,-0.066626,0.000002,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000267,-0.000067,-0.049113,-0.000232,-0.000002,-0.060434,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000149,0.000485,0.000326,-0.117217,-0.000001,-0.000001,-0.125708
0.050000,-2.780954,0.000000,0.000000,-3.265922,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-2.711238,0.000000,0.000000,-3.196756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.952237,0.000000,0.000000,-1.369326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000263,-0.068251,0.000068,-0.000327,-0.066626,0.000002,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000267,-0.000067,-0.049101,-0.000231,-0.000002,-0.060434,0.000006,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000148,0.000482,0.000324,-0.117198,-0.000001,-0.000001,-0.125707
0.060000,-2.780946,0.000000,0.000000,-3.265921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.711231,0.000000,0.000000,-3.196755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.952234,0.000000,0.000000,-1.369324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000261,-0.068244,0.000068,-0.000325,-0.066626,0.000002,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000266,-0.000067,-0.049089,-0.000229,-0.000002,-0.060434,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000147,0.000479,0.000322,-0.117180,-0.000001,-0.000001,-0.125707
0.070000,-2.780939,0.000000,0.000000,-3.265920,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.711223,0.000000,0.000000,-3.196754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.952231,0.000000,0.000000,-1.369322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000260,-0.068236,0.000068,-0.000324,-0.066626,0.000002,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000265,-0.000066,-0.049076,-0.000228,-0.000002,-0.060434,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000146,0.000477,0.000320,-0.117161,-0.000001,-0.000001,-0.125707
0.080000,-2.780931,0.000000,0.000000,-3.265919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.711216,0.000000,0.000000,-3.196753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.952228,0.000000,0.000000,-1.369321,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000258,-0.068228,0.000068,-0.000323,-0.066625,0.000002,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000264,-0.000066,-0.049064,-0.000227,-0.000002,-0.060434,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000146,0.000475,0.000318,-0.117141,-0.000001,-0.000001,-0.125707
0.090000,-2.780923,0.000000,0.000000,-3.265918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.711208,0.000000,0.000000,-3.196752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.952225,0.000000,0.000000,-1.369319,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000257,-0.068220,0.000067,-0.000321,-0.066625,0.000002,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000262,-0.000066,-0.049051,-0.000225,-0.000002,-0.060433,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000145,0.000474,0.000316,-0.117122,-0.000001,-0.000001,-0.125706
0.100000,-2.780915,0.000000,0.000000,-3.265916,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-2.711200,0.000000,0.000000,-3.196750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.952222,0.000000,0.000000,-1.369317,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000255,-0.068212,0.000067,-0.000320,-0.066625,0.000002,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000261,-0.000065,-0.049038,-0.000224,-0.000002,-0.060433,0.000006,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000144,0.000472,0.000314,-0.117102,-0.000001,-0.000001,-0.125706
