time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,omega_dot_x,omega_dot_y,omega_dot_z,mu
0.000000,0.163960,-0.055822,0.984886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.665848
0.010000,0.163960,-0.055820,0.984886,-0.000001,-0.000002,0.000000,-0.000779,-0.000335,0.000399,0.665861
0.020000,0.163960,-0.055817,0.984887,-0.000042,-0.000008,0.000019,-0.007354,-0.001048,0.003300,0.665880
0.030000,0.163960,-0.055815,0.984887,-0.000173,-0.000023,0.000077,-0.018704,-0.002196,0.008292,0.665909
0.040000,0.163959,-0.055813,0.984887,-0.000438,-0.000051,0.000195,-0.033936,-0.003811,0.015023,0.665951
0.050000,0.163959,-0.055811,0.984887,-0.000871,-0.000098,0.000386,-0.052271,-0.005909,0.023184,0.666010
0.060000,0.163956,-0.055778,0.984889,-0.001499,-0.000169,0.000665,-0.073035,-0.008491,0.032510,0.666087
0.070000,0.163953,-0.055745,0.984892,-0.002344,-0.000269,0.001042,-0.095641,-0.011547,0.042773,0.666185
0.080000,0.163951,-0.055712,0.984894,-0.003421,-0.000401,0.001525,-0.119586,-0.015057,0.053778,0.666303
0.090000,0.163948,-0.055679,0.984896,-0.004743,-0.000571,0.002121,-0.144436,-0.018994,0.065357,0.666443
0.100000,0.163945,-0.055646,0.984899,-0.006315,-0.000783,0.002835,-0.169822,-0.023329,0.077366,0.666604
0.110000,0.163932,-0.055523,0.984908,-0.008143,-0.001039,0.003670,-0.195427,-0.028028,0.089684,0.666786
0.120000,0.163920,-0.055400,0.984917,-0.010226,-0.001345,0.004630,-0.220983,-0.033057,0.102208,0.666989
0.130000,0.163907,-0.055277,0.984926,-0.012564,-0.001702,0.005716,-0.246267,-0.038380,0.114849,0.667212
0.140000,0.163895,-0.055154,0.984935,-0.015152,-0.002113,0.006928,-0.271086,-0.043963,0.127532,0.667454
0.150000,0.163882,-0.055030,0.984944,-0.017985,-0.002582,0.008267,-0.295284,-0.049773,0.140194,0.667714
0.160000,0.163854,-0.054791,0.984962,-0.021057,-0.003109,0.009732,-0.318728,-0.055777,0.152782,0.667991
0.170000,0.163831,-0.054590,0.984977,-0.024358,-0.003698,0.011323,-0.341310,-0.061946,0.165251,0.668284
0.180000,0.163806,-0.054370,0.984993,-0.027881,-0.004349,0.013037,-0.362941,-0.068250,0.177561,0.668592
0.190000,0.163770,-0.054071,0.985016,-0.031615,-0.005063,0.014874,-0.383551,-0.074665,0.189682,0.668914
0.200000,0.163714,-0.053634,0.985049,-0.035549,-0.005842,0.016830,-0.403082,-0.081163,0.201585,0.669248
0.210000,0.163672,-0.053319,0.985073,-0.039673,-0.006687,0.018905,-0.421487,-0.087726,0.213247,0.669594
0.220000,0.163614,-0.052887,0.985106,-0.043976,-0.007597,0.021095,-0.438735,-0.094327,0.224650,0.669950
0.230000,0.163543,-0.052365,0.985145,-0.048445,-0.008574,0.023397,-0.454804,-0.100944,0.235781,0.670315
0.240000,0.163462,-0.051783,0.985190,-0.053068,-0.009616,0.025810,-0.469675,-0.107557,0.246628,0.670688
0.250000,0.163372,-0.051167,0.985237,-0.057834,-0.010725,0.028329,-0.483341,-0.114147,0.257180,0.671068
0.260000,0.163274,-0.050522,0.985286,-0.062731,-0.011899,0.030952,-0.495795,-0.120694,0.267430,0.671455
0.270000,0.163168,-0.049827,0.985339,-0.067747,-0.013138,0.033677,-0.507042,-0.127181,0.277374,0.671847
0.280000,0.163050,-0.049079,0.985396,-0.072868,-0.014442,0.036499,-0.517086,-0.133588,0.287007,0.672244
0.290000,0.162921,-0.048275,0.985457,-0.078085,-0.015810,0.039416,-0.525938,-0.139901,0.296327,0.672646
0.300000,0.162776,-0.047412,0.985523,-0.083383,-0.017240,0.042424,-0.533609,-0.146101,0.305334,0.673050
0.310000,0.162618,-0.046490,0.985593,-0.088753,-0.018732,0.045522,-0.540113,-0.152174,0.314026,0.673458
0.320000,0.162448,-0.045512,0.985667,-0.094182,-0.020283,0.048704,-0.545468,-0.158103,0.322404,0.673867
0.330000,0.162264,-0.044476,0.985744,-0.099659,-0.021893,0.051969,-0.549692,-0.163874,0.330470,0.674279
0.340000,0.162064,-0.043381,0.985826,-0.105172,-0.023560,0.055312,-0.552806,-0.169472,0.338226,0.674692
0.350000,0.161847,-0.042224,0.985912,-0.110711,-0.025282,0.058732,-0.554832,-0.174882,0.345674,0.675106
0.360000,0.161613,-0.041007,0.986002,-0.116265,-0.027057,0.062225,-0.555789,-0.180089,0.352818,0.675520
0.370000,0.161364,-0.039729,0.986095,-0.121824,-0.028883,0.065788,-0.555703,-0.185081,0.359659,0.675934
0.380000,0.161097,-0.038391,0.986192,-0.127376,-0.030758,0.069417,-0.554595,-0.189844,0.366202,0.676348
0.390000,0.160812,-0.036993,0.986292,-0.132912,-0.032679,0.073111,-0.552491,-0.194363,0.372451,0.676762
0.400000,0.160506,-0.035536,0.986395,-0.138422,-0.034644,0.076865,-0.549413,-0.198626,0.378409,0.677174
0.410000,0.160181,-0.034017,0.986501,-0.143897,-0.036651,0.080678,-0.545387,-0.202619,0.384080,0.677586
0.420000,0.159837,-0.032437,0.986610,-0.149327,-0.038696,0.084546,-0.540435,-0.206330,0.389469,0.677996
0.430000,0.159473,-0.030798,0.986722,-0.154703,-0.040776,0.088466,-0.534583,-0.209745,0.394579,0.678404
0.440000,0.159088,-0.029101,0.986835,-0.160016,-0.042890,0.092436,-0.527855,-0.212853,0.399415,0.678810
0.450000,0.158680,-0.027348,0.986951,-0.165257,-0.045032,0.096454,-0.520275,-0.215640,0.403981,0.679214
0.460000,0.158250,-0.025537,0.987069,-0.170419,-0.047201,0.100515,-0.511865,-0.218094,0.408281,0.679616
0.470000,0.157799,-0.023666,0.987188,-0.175492,-0.049393,0.104618,-0.502650,-0.220203,0.412320,0.680015
0.480000,0.157325,-0.021739,0.987308,-0.180469,-0.051604,0.108761,-0.492653,-0.221955,0.416101,0.680411
0.490000,0.156828,-0.019758,0.987428,-0.185342,-0.053831,0.112940,-0.481896,-0.223337,0.419628,0.680803
0.500000,0.156306,-0.017727,0.987550,-0.190104,-0.056070,0.117152,-0.470403,-0.224338,0.422906,0.681192
0.510000,0.155761,-0.015642,0.987671,-0.194748,-0.058316,0.121397,-0.458194,-0.224947,0.425939,0.681578
0.520000,0.155192,-0.013502,0.987792,-0.199266,-0.060567,0.125670,-0.445292,-0.225151,0.428730,0.681960
0.530000,0.154599,-0.011311,0.987913,-0.203651,-0.062818,0.129971,-0.431718,-0.224940,0.431283,0.682337
0.540000,0.153981,-0.009073,0.988032,-0.207898,-0.065065,0.134295,-0.417492,-0.224301,0.433601,0.682710
0.550000,0.153337,-0.006792,0.988151,-0.211999,-0.067303,0.138642,-0.402636,-0.223225,0.435690,0.683079
0.560000,0.152669,-0.004465,0.988267,-0.215949,-0.069528,0.143008,-0.387169,-0.221700,0.437551,0.683443
0.570000,0.151975,-0.002089,0.988382,-0.219741,-0.071735,0.147392,-0.371110,-0.219715,0.439188,0.683801
0.580000,0.151257,0.000331,0.988494,-0.223369,-0.073920,0.151791,-0.354479,-0.217260,0.440604,0.684155
0.590000,0.150513,0.002791,0.988604,-0.226828,-0.076079,0.156204,-0.337295,-0.214324,0.441804,0.684503
0.600000,0.149744,0.005283,0.988711,-0.230113,-0.078205,0.160627,-0.319575,-0.210898,0.442789,0.684845
0.610000,0.148950,0.007814,0.988814,-0.233218,-0.080295,0.165059,-0.301338,-0.206971,0.443562,0.685181
0.620000,0.148130,0.010385,0.988913,-0.236138,-0.082343,0.169497,-0.282601,-0.202534,0.444127,0.685511
0.630000,0.147285,0.012992,0.989009,-0.238868,-0.084344,0.173940,-0.263381,-0.197578,0.444487,0.685835
0.640000,0.146416,0.015628,0.989100,-0.241404,-0.086293,0.178386,-0.243694,-0.192093,0.444643,0.686152
0.650000,0.145524,0.018286,0.989186,-0.243741,-0.088184,0.182833,-0.223558,-0.186071,0.444598,0.686462
0.660000,0.144606,0.020972,0.989267,-0.245874,-0.090012,0.187278,-0.202987,-0.179504,0.444356,0.686765
0.670000,0.143664,0.023690,0.989343,-0.247799,-0.091772,0.191719,-0.181998,-0.172382,0.443918,0.687061
0.680000,0.142698,0.026433,0.989413,-0.249512,-0.093458,0.196155,-0.160606,-0.164698,0.443286,0.687350
0.690000,0.141710,0.029193,0.989478,-0.251010,-0.095064,0.200584,-0.138825,-0.156445,0.442463,0.687631
0.700000,0.140701,0.031965,0.989536,-0.252288,-0.096585,0.205004,-0.116670,-0.147616,0.441451,0.687904
0.710000,0.139670,0.034753,0.989588,-0.253342,-0.098015,0.209413,-0.094156,-0.138203,0.440251,0.688169
0.720000,0.138616,0.037561,0.989634,-0.254170,-0.099347,0.213808,-0.071296,-0.128201,0.438867,0.688425
0.730000,0.137541,0.040383,0.989673,-0.254767,-0.100577,0.218189,-0.048105,-0.117604,0.437300,0.688674
0.740000,0.136447,0.043211,0.989705,-0.255131,-0.101698,0.222554,-0.024596,-0.106406,0.435551,0.688913
0.750000,0.135337,0.046037,0.989729,-0.255258,-0.102703,0.226900,-0.000782,-0.094602,0.433622,0.689144
0.760000,0.134209,0.048866,0.989747,-0.255145,-0.103588,0.231225,0.023323,-0.082188,0.431516,0.689366
