time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.744415,0.304865,-1.496857,-0.014507,-0.007842,0.004368,0.413294,-0.098645,0.068032,17.892276,-4.390107,2.323096,-254.621639,47.677641,-96.050939,-0.010116,-0.042399,0.000000,-0.451809,-1.843323,0.000000
0.010000,-2.744560,0.304786,-1.496813,-0.010374,-0.008828,0.005048,0.592217,-0.142546,0.091263,15.346059,-3.913331,1.362587,-807.868881,175.067004,-191.428697,-0.014639,-0.060860,0.000000,-0.402468,-1.581519,0.000000
0.020000,-2.744622,0.304688,-1.496756,-0.002663,-0.010693,0.006193,0.720215,-0.176911,0.095284,1.734898,-0.888767,-1.505478,-1193.467758,266.860764,-219.351521,-0.018159,-0.074001,0.000000,-0.088169,-0.166155,0.000000
0.030000,-2.744613,0.304573,-1.496689,0.004030,-0.012366,0.006954,0.626915,-0.160321,0.061153,-8.523296,1.423885,-3.024443,-436.846710,93.378885,-40.881675,-0.016410,-0.064218,0.000000,0.149867,0.890435,-0.000000
0.040000,-2.744542,0.304441,-1.496616,0.009875,-0.013899,0.007416,0.549749,-0.148434,0.034795,-7.002036,0.978811,-2.323111,143.282483,-42.057072,63.031882,-0.015160,-0.056180,0.000000,0.102933,0.727287,-0.000000
0.050000,-2.744416,0.304295,-1.496541,0.015025,-0.015335,0.007650,0.486874,-0.140745,0.014691,-5.657646,0.582743,-1.763806,126.339640,-37.293731,49.765332,-0.014350,-0.049664,0.000000,0.061573,0.585032,-0.000000
0.060000,-2.744241,0.304134,-1.496463,0.019613,-0.016714,0.007710,0.436597,-0.136779,-0.000481,-4.475243,0.232936,-1.327804,110.850468,-32.801904,38.310312,-0.013927,-0.044474,0.000000,0.025314,0.461235,0.000000
0.070000,-2.744023,0.303960,-1.496386,0.023757,-0.018071,0.007640,0.397369,-0.136086,-0.011865,-3.440637,-0.073295,-0.997600,96.745769,-28.575434,28.545230,-0.013843,-0.040436,0.000000,-0.006247,0.353800,-0.000000
0.080000,-2.743766,0.303773,-1.496311,0.027560,-0.019436,0.007473,0.367784,-0.138245,-0.020433,-2.540328,-0.338572,-0.756900,83.956335,-24.608165,20.348470,-0.014052,-0.037395,0.000000,-0.033466,0.260904,0.000000
0.090000,-2.743472,0.303572,-1.496237,0.031112,-0.020835,0.007232,0.346563,-0.142858,-0.027003,-1.761510,-0.565458,-0.590630,72.412973,-20.893940,13.598442,-0.014512,-0.035216,0.000000,-0.056656,0.180941,0.000000
0.100000,-2.743144,0.303356,-1.496166,0.034491,-0.022293,0.006933,0.332554,-0.149554,-0.032246,-1.092069,-0.756451,-0.484931,62.046491,-17.426601,8.173561,-0.015185,-0.033776,0.000000,-0.076106,0.112481,0.000000
0.110000,-2.742782,0.303126,-1.496098,0.037764,-0.023826,0.006587,0.324721,-0.157987,-0.036701,-0.520580,-0.913990,-0.427159,52.787677,-14.199994,3.952218,-0.016035,-0.032966,0.000000,-0.092081,0.054233,-0.000000
0.120000,-2.742389,0.302880,-1.496034,0.040986,-0.025452,0.006199,0.322142,-0.167834,-0.040789,-0.036315,-1.040451,-0.405887,44.567337,-11.207955,0.812820,-0.017027,-0.032691,0.000000,-0.104835,0.005028,0.000000
0.130000,-2.741963,0.302617,-1.495974,0.044206,-0.027183,0.005771,0.323995,-0.178796,-0.044819,0.370766,-1.138149,-0.410903,37.316278,-8.444326,-1.366225,-0.018131,-0.032865,0.000000,-0.114614,-0.036207,-0.000000
0.140000,-2.741504,0.302336,-1.495919,0.047466,-0.029028,0.005303,0.329557,-0.190597,-0.049007,0.710011,-1.209338,-0.433211,30.965269,-5.902979,-2.706547,-0.019319,-0.033415,0.000000,-0.121655,-0.070456,-0.000000
0.150000,-2.741013,0.302036,-1.495868,0.050798,-0.030995,0.004791,0.338195,-0.202982,-0.053483,0.990072,-1.256209,-0.465033,25.445132,-3.577734,-3.329715,-0.020564,-0.034274,0.000000,-0.126192,-0.098624,-0.000000
