time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-3.269779,-0.221278,-1.497056,-0.020688,-0.003811,0.010665,1.007636,-0.321028,-0.209634,-15.790029,5.898680,6.260730,273.408934,-91.965020,-149.185169,-0.031868,-0.100229,0.000000,0.560466,1.497160,-0.000000
0.010000,-3.269938,-0.221331,-1.496959,-0.011357,-0.006741,0.008858,0.862897,-0.266435,-0.154100,-13.207753,5.039669,4.883810,243.448712,-80.023824,-126.596543,-0.026634,-0.086385,0.000000,0.487555,1.273085,0.000000
0.020000,-3.270010,-0.221411,-1.496878,-0.003349,-0.009166,0.007541,0.742522,-0.219855,-0.111244,-10.913176,4.294557,3.721046,215.852189,-69.176635,-106.333835,-0.022095,-0.074702,0.000000,0.421401,1.065680,0.000000
0.030000,-3.270008,-0.221513,-1.496807,0.003565,-0.011161,0.006597,0.643751,-0.180200,-0.079041,-8.883168,3.652664,2.749787,190.517899,-59.371108,-88.275263,-0.018182,-0.065006,0.000000,0.362371,0.876324,0.000000
0.040000,-3.269942,-0.221633,-1.496745,0.009589,-0.012790,0.005930,0.564051,-0.146491,-0.055682,-7.095615,3.103837,1.948599,167.344481,-50.554892,-72.299117,-0.014823,-0.057111,0.000000,0.310502,0.705545,-0.000000
0.050000,-3.269819,-0.221768,-1.496688,0.014902,-0.014108,0.005460,0.501101,-0.117845,-0.039569,-5.529422,2.638442,1.297274,146.229602,-42.675704,-58.283060,-0.011949,-0.050832,0.000000,0.265580,0.553215,-0.000000
0.060000,-3.269646,-0.221915,-1.496635,0.019660,-0.015161,0.005120,0.452791,-0.093475,-0.029300,-4.164499,2.247374,0.776811,127.072690,-35.681132,-46.105881,-0.009490,-0.045986,0.000000,0.227214,0.418713,0.000000
0.070000,-3.269427,-0.222070,-1.496585,0.024000,-0.015989,0.004858,0.417204,-0.072679,-0.023656,-2.981781,1.922046,0.369433,109.771900,-29.518861,-35.645554,-0.007384,-0.042401,0.000000,0.194898,0.301078,-0.000000
0.080000,-3.269167,-0.222234,-1.496538,0.028041,-0.016625,0.004635,0.392609,-0.054842,-0.021590,-1.963212,1.654397,0.058583,94.225744,-24.136553,-26.780257,-0.005574,-0.039912,0.000000,0.168057,0.199126,0.000000
0.090000,-3.268867,-0.222402,-1.496493,0.031884,-0.017094,0.004417,0.377450,-0.039424,-0.022214,-1.091755,1.436889,-0.171082,80.332769,-19.481872,-19.388152,-0.004007,-0.038370,0.000000,0.146084,0.111541,-0.000000
0.100000,-3.268529,-0.222575,-1.496450,0.035617,-0.017420,0.004184,0.370337,-0.025960,-0.024788,-0.351389,1.262509,-0.333686,67.991052,-15.502426,-13.347572,-0.002638,-0.037638,0.000000,0.128366,0.036954,0.000000
0.110000,-3.268155,-0.222750,-1.496409,0.039313,-0.017619,0.003917,0.370035,-0.014052,-0.028707,0.272898,1.124764,-0.442133,57.099569,-12.145937,-8.536534,-0.001427,-0.037592,0.000000,0.114305,-0.026010,-0.000000
0.120000,-3.267743,-0.222927,-1.496371,0.043036,-0.017705,0.003607,0.375454,-0.003363,-0.033489,0.795098,1.017688,-0.508110,47.556643,-9.360039,-4.833292,-0.000341,-0.038124,0.000000,0.103330,-0.078691,-0.000000
0.130000,-3.267294,-0.223104,-1.496337,0.046838,-0.017689,0.003246,0.385640,0.006386,-0.038763,1.228188,0.935836,-0.542085,39.260817,-7.092387,-2.116053,0.000648,-0.039136,0.000000,0.094909,-0.122362,-0.000000
0.140000,-3.266806,-0.223281,-1.496307,0.050762,-0.017580,0.002831,0.399761,0.015422,-0.044255,1.584133,0.874287,-0.553312,32.110682,-5.290627,-0.263071,0.001564,-0.040545,0.000000,0.088551,-0.158218,0.000000
0.150000,-3.266278,-0.223455,-1.496281,0.054844,-0.017382,0.002361,0.417102,0.023925,-0.049780,1.873883,0.828645,-0.549822,26.004873,-3.902392,0.847335,0.002424,-0.042278,0.000000,0.083813,-0.187358,-0.000000
0.160000,-3.265708,-0.223628,-1.496260,0.059113,-0.017102,0.001835,0.437051,0.032035,-0.055226,2.107349,0.795033,-0.538423,20.839941,-2.875536,1.338032,0.003244,-0.044273,0.000000,0.080302,-0.210781,-0.000000
0.170000,-3.265095,-0.223797,-1.496244,0.063592,-0.016743,0.001256,0.459091,0.039854,-0.060541,2.293475,0.770104,-0.524720,16.516963,-2.157473,1.329509,0.004033,-0.046478,0.000000,0.077677,-0.229385,-0.000000
0.180000,-3.264436,-0.223963,-1.496235,0.068300,-0.016306,0.000625,0.482789,0.047456,-0.065727,2.440153,0.751029,-0.513089,12.933438,-1.695948,0.944080,0.004800,-0.048848,0.000000,0.075649,-0.243960,0.000000
0.190000,-3.263728,-0.224123,-1.496232,0.073252,-0.015794,-0.000058,0.507786,0.054887,-0.070821,2.554271,0.735504,-0.506689,9.987873,-1.438617,0.303589,0.005547,-0.051346,0.000000,0.073980,-0.255195,-0.000000
0.200000,-3.262970,-0.224278,-1.496236,0.078459,-0.015209,-0.000791,0.533786,0.062172,-0.075885,2.641699,0.721750,-0.507463,7.578679,-1.333170,-0.470326,0.006280,-0.053942,0.000000,0.072487,-0.263674,-0.000000
0.210000,-3.262158,-0.224427,-1.496248,0.083930,-0.014551,-0.001574,0.560285,0.069513,-0.080440,2.647417,0.751916,-0.388958,4.420791,-0.469181,1.258306,0.007017,-0.056589,0.000000,0.075518,-0.264591,-0.000000
